"","Player","Position","Injury","Game Status","Team","Week"
"2","Marcus Cannon","OL","Calf","Questionable","New England Patriots",4
"3","Patrick Chung","S","Concussion","Questionable","New England Patriots",4
"4","Keion Crossen","DB","Hamstring","Questionable","New England Patriots",4
"5","Nate Ebner","DB","Hip","Questionable","New England Patriots",4
"6","Trey Flowers","DL","Concussion","Questionable","New England Patriots",4
"7","Josh Gordon","WR","Hamstring","Questionable","New England Patriots",4
"8","Rob Gronkowski","TE","Ankle","Questionable","New England Patriots",4
"9","Jacob Hollister","TE","Chest","Questionable","New England Patriots",4
"10","Brandon King","LB","Foot","Questionable","New England Patriots",4
"11","Eric Rowe","DB","Groin","Questionable","New England Patriots",4
"12","Danny Shelton","DL","Elbow","Not Listed","New England Patriots",4
"21","Chase Allen","OLB","Foot","Out","Miami Dolphins",4
"31","Danny Amendola","WR","Not Injury Related","Not Listed","Miami Dolphins",4
"41","Andre Branch","DE","Knee","Out","Miami Dolphins",4
"51","John Denney","LS","Shoulder","Not Listed","Miami Dolphins",4
"61","A.J. Derby","TE","Foot","Out","Miami Dolphins",4
"71","Davon Godchaux","DT","Ankle","Questionable","Miami Dolphins",4
"81","Frank Gore","RB","Not Injury Related","Not Listed","Miami Dolphins",4
"91","Reshad Jones","FS","Shoulder","Questionable","Miami Dolphins",4
"101","DeVante Parker","WR","Quadricep","Questionable","Miami Dolphins",4
"111","Ryan Tannehill","QB","Shoulder (Right)","Not Listed","Miami Dolphins",4
"121","Cameron Wake","DE","Knee","Questionable","Miami Dolphins",4
"13","Sam Young","OT","Shoulder","Questionable","Miami Dolphins",4
"22","Lorenzo Alexander","LB","Rest","Not Listed","Buffalo Bills",4
"32","Charles Clay","TE","Shoulder/Hip","Questionable","Buffalo Bills",4
"42","Jason Croom","TE","Knee","Questionable","Buffalo Bills",4
"52","Micah Hyde","S","Toe","Not Listed","Buffalo Bills",4
"62","Shaq Lawson","DE","Hamstring","Not Listed","Buffalo Bills",4
"72","LeSean McCoy","RB","Rib","Questionable","Buffalo Bills",4
"82","Marcus Murphy","RB","Rib","Questionable","Buffalo Bills",4
"92","Trent Murphy","DE","Ankle","Not Listed","Buffalo Bills",4
"102","Kyle Williams","DT","Rest","Not Listed","Buffalo Bills",4
"23","Robby Anderson","WR","Nose","Not Listed","New York Jets",4
"33","Kelvin Beachum","T","Foot","Not Listed","New York Jets",4
"43","James Carpenter","G","Ankle","Not Listed","New York Jets",4
"53","Quincy Enunwa","WR","Back","Not Listed","New York Jets",4
"63","Spencer Long","C","Shoulder/Knee","Not Listed","New York Jets",4
"73","Josh Martin","LB","Concussion","Not Listed","New York Jets",4
"83","Marcus Maye","S","Ankle/Foot","Questionable","New York Jets",4
"93","Steve McLendon","DL","Knee","Not Listed","New York Jets",4
"103","Doug Middleton","S","Knee/Finger","Questionable","New York Jets",4
"112","Charone Peake","WR","Hamstring","Out","New York Jets",4
"122","Buster Skrine","CB","Knee","Questionable","New York Jets",4
"131","Neal Sterling","TE","Concussion","Out","New York Jets",4
"24","Sammie Coates Jr.","WR","Hamstring","Not Listed","Houston Texans",4
"34","Keke Coutee","WR","Hamstring","Not Listed","Houston Texans",4
"44","Will Fuller V","WR","Hamstring","Not Listed","Houston Texans",4
"54","DeAndre Hopkins","WR","Thumb / Ankle / Hamstring","Questionable","Houston Texans",4
"64","Senio Kelemete","G","Knee","Not Listed","Houston Texans",4
"74","Martinas Rankin","T","Ankle","Not Listed","Houston Texans",4
"84","J.J. Watt","DE","Thigh","Not Listed","Houston Texans",4
"94","Kayvon Webster","CB","Not Injury Related","Questionable","Houston Texans",4
"104","Shareece Wright","CB","Shoulder","Questionable","Houston Texans",4
"25","Denico Autry","DT/DE","Ankle","Not Listed","Indianapolis Colts",4
"35","Anthony Castonzo","T","Hamstring","Out","Indianapolis Colts",4
"45","Jack Doyle","TE","Hip","Out","Indianapolis Colts",4
"55","Eric Ebron","TE","Shoulder/Knee","Not Listed","Indianapolis Colts",4
"65","Clayton Geathers","S","Knee","Questionable","Indianapolis Colts",4
"75","Joe Haeg","T/G","Ankle","Out","Indianapolis Colts",4
"85","Malik Hooker","S","Hip/Groin","Not Listed","Indianapolis Colts",4
"95","Andrew Luck","QB","Groin","Not Listed","Indianapolis Colts",4
"105","Marlon Mack","RB","Hamstring","Questionable","Indianapolis Colts",4
"113","Hassan Ridgeway","DT","Calf","Out","Indianapolis Colts",4
"123","Anthony Walker","LB","Groin","Questionable","Indianapolis Colts",4
"132","Quincy Wilson","CB","Concussion","Out","Indianapolis Colts",4
"14","Al Woods","DT","Quadricep","Not Listed","Indianapolis Colts",4
"26","Jurrell Casey","DT","Not Injury Related","Not Listed","Tennessee Titans",4
"36","Jack Conklin","OT","Knee","Not Listed","Tennessee Titans",4
"46","Kamalei Correa","LB","Back","Not Listed","Tennessee Titans",4
"56","David Fluellen","RB","Groin","Out","Tennessee Titans",4
"66","Blaine Gabbert","QB","Concussion","Questionable","Tennessee Titans",4
"76","Adoree' Jackson","CB","Concussion","Not Listed","Tennessee Titans",4
"86","Dennis Kelly","T","Illness","Out","Tennessee Titans",4
"96","Kendrick Lewis","S","Foot","Not Listed","Tennessee Titans",4
"106","Marcus Mariota","QB","Right Elbow","Not Listed","Tennessee Titans",4
"114","Ryan Succop","K","Left Knee","Not Listed","Tennessee Titans",4
"27","Calais Campbell","DL","Ankle","Not Listed","Jacksonville Jaguars",4
"37","A.J. Cann","OL","Triceps","Questionable","Jacksonville Jaguars",4
"47","Leonard Fournette","RB","Hamstring","Questionable","Jacksonville Jaguars",4
"57","D.J. Hayden","CB","Toe","Out","Jacksonville Jaguars",4
"67","Josh Lambo","K","Hip","Not Listed","Jacksonville Jaguars",4
"77","Brandon Linder","OL","Knee","Not Listed","Jacksonville Jaguars",4
"87","Jermey Parnell","OL","Knee","Not Listed","Jacksonville Jaguars",4
"97","Austin Seferian-Jenkins","TE","Core Muscle Injury","Not Listed","Jacksonville Jaguars",4
"107","T.J. Yeldon","RB","Ankle","Not Listed","Jacksonville Jaguars",4
"28","Morgan Burnett","S","Groin","Doubtful","Pittsburgh Steelers",4
"38","David DeCastro","G","Hand","Not Listed","Pittsburgh Steelers",4
"48","Ramon Foster","G","Coaches Decision","Not Listed","Pittsburgh Steelers",4
"58","Marcus Gilbert","T","Hamstring","Not Listed","Pittsburgh Steelers",4
"68","Mike Hilton","CB","Elbow","Doubtful","Pittsburgh Steelers",4
"78","Maurkice Pouncey","C","Coaches Decision","Not Listed","Pittsburgh Steelers",4
"88","Ben Roethlisberger","QB","Coaches Decision","Not Listed","Pittsburgh Steelers",4
"98","JuJu Smith-Schuster","WR","Abdomen","Not Listed","Pittsburgh Steelers",4
"29","Anthony Averett","CB","Hamstring","Out","Baltimore Ravens",4
"39","John Brown","WR","NIR","Not Listed","Baltimore Ravens",4
"49","Brandon Carr","CB","Knee","Questionable","Baltimore Ravens",4
"59","Willie Henry","DT","Abdomen","Out","Baltimore Ravens",4
"69","Hayden Hurst","TE","Foot","Questionable","Baltimore Ravens",4
"79","Lamar Jackson","QB","Illness","Not Listed","Baltimore Ravens",4
"89","Anthony Levine Sr.","DB/LB","Hamstring","Questionable","Baltimore Ravens",4
"99","C.J. Mosley","ILB","Knee","Questionable","Baltimore Ravens",4
"108","Michael Pierce","DT","Foot","Questionable","Baltimore Ravens",4
"115","Ronnie Stanley","T","Foot","Questionable","Baltimore Ravens",4
"124","Terrell Suggs","OLB","Knee","Questionable","Baltimore Ravens",4
"133","Eric Weddle","S","NIR","Not Listed","Baltimore Ravens",4
"210","Seth DeValve","TE","Hamstring","Questionable","Cleveland Browns",4
"310","Myles Garrett","DL","Knee","Not Listed","Cleveland Browns",4
"410","Desmond Harrison","OL","Shoulder","Not Listed","Cleveland Browns",4
"510","Christian Kirksey","LB","Shoulder/Ankle","Not Listed","Cleveland Browns",4
"610","Jarvis Landry","WR","Knee","Not Listed","Cleveland Browns",4
"710","Emmanuel Ogbah","DL","Ankle","Not Listed","Cleveland Browns",4
