"","Player","Position","Injury","Game Status","Team","Week"
"2","Malcom Brown","DL","Knee","Questionable","New England Patriots",7
"3","Marcus Cannon","OL","Concussion","Out","New England Patriots",7
"4","Julian Edelman","WR","Heel","Questionable","New England Patriots",7
"5","Josh Gordon","WR","Hamstring","Questionable","New England Patriots",7
"6","Rob Gronkowski","TE","Ankle/Back","Questionable","New England Patriots",7
"7","Jacob Hollister","TE","Hamstring","Questionable","New England Patriots",7
"8","Sony Michel","RB","Knee","Questionable","New England Patriots",7
"9","Eric Rowe","DB","Groin","Questionable","New England Patriots",7
"10","John Simon","DE","Shoulder","Questionable","New England Patriots",7
"11","Deatrich Wise Jr.","DL","Ankle / Knee","Questionable","New England Patriots",7
"21","Danny Amendola","WR","Not Injury Related","Not Listed","Miami Dolphins",7
"31","Andre Branch","DE","Knee","Not Listed","Miami Dolphins",7
"41","Jesse Davis","OT","Elbow","Not Listed","Miami Dolphins",7
"51","A.J. Derby","TE","Foot","Not Listed","Miami Dolphins",7
"61","Frank Gore","RB","Not Injury Related","Not Listed","Miami Dolphins",7
"71","Jakeem Grant","WR","Shoulder/Hamstring","Not Listed","Miami Dolphins",7
"81","Charles Harris","DE","Calf","Out","Miami Dolphins",7
"91","Reshad Jones","FS","Shoulder","Not Listed","Miami Dolphins",7
"101","Bobby McCain","CB","Knee","Questionable","Miami Dolphins",7
"111","T.J. McDonald","S","Knee","Questionable","Miami Dolphins",7
"12","DeVante Parker","WR","Quadricep","Questionable","Miami Dolphins",7
"13","Ryan Tannehill","QB","Shoulder (right)","Out","Miami Dolphins",7
"14","Cameron Wake","DE","Knee","Questionable","Miami Dolphins",7
"15","Jonathan Woodard","DE","Concussion","Out","Miami Dolphins",7
"22","Lorenzo Alexander","LB","Rest","Not Listed","Buffalo Bills",7
"32","Josh Allen","QB","Right Elbow","Out","Buffalo Bills",7
"42","Vladimir Ducasse","G","Knee","Not Listed","Buffalo Bills",7
"52","Taiwan Jones","RB","Neck","Out","Buffalo Bills",7
"62","Trent Murphy","DE","Ankle","Not Listed","Buffalo Bills",7
"72","Kyle Williams","DT","Rest","Not Listed","Buffalo Bills",7
"23","Jamal Adams","S","Ankle","Not Listed","New York Jets",7
"33","Robby Anderson","WR","Hamstring","Not Listed","New York Jets",7
"43","Kelvin Beachum","T","Foot","Not Listed","New York Jets",7
"53","Brandon Copeland","LB","Ankle","Not Listed","New York Jets",7
"63","Isaiah Crowell","RB","Foot","Questionable","New York Jets",7
"73","Sam Darnold","QB","Right Elbow","Not Listed","New York Jets",7
"82","Quincy Enunwa","WR","Ankle","Out","New York Jets",7
"92","Trumaine Johnson","CB","Quadriceps","Doubtful","New York Jets",7
"102","Spencer Long","C","Knee/Finger","Not Listed","New York Jets",7
"112","Marcus Maye","S","Thumb","Out","New York Jets",7
"121","Doug Middleton","S","Hamstring","Not Listed","New York Jets",7
"131","Charone Peake","WR","Hamstring","Not Listed","New York Jets",7
"141","Kevin Pierre-Louis","LB","Foot","Doubtful","New York Jets",7
"151","Andre Roberts","WR","Foot/Ankle","Not Listed","New York Jets",7
"16","Nathan Shepherd","DL","Shoulder","Not Listed","New York Jets",7
"17","Buster Skrine","CB","Concussion","Out","New York Jets",7
"18","Leonard Williams","DL","Back","Not Listed","New York Jets",7
"24","Aaron Colvin","CB","Ankle","Out","Houston Texans",7
"34","Keke Coutee","WR","Hamstring","Not Listed","Houston Texans",7
"44","Will Fuller V","WR","Hip","Not Listed","Houston Texans",7
"54","Zach Fulton","C/G","Ankle","Questionable","Houston Texans",7
"64","Ryan Griffin","TE","Illness","Out","Houston Texans",7
"74","Joel Heath","DE","Knee","Not Listed","Houston Texans",7
"83","DeAndre Hopkins","WR","Foot","Not Listed","Houston Texans",7
"93","Kareem Jackson","CB/S","Thigh","Not Listed","Houston Texans",7
"103","Johnathan Joseph","CB","Shoulder","Not Listed","Houston Texans",7
"113","Whitney Mercilus","OLB","Ankle","Not Listed","Houston Texans",7
"122","Lamar Miller","RB","Chest","Not Listed","Houston Texans",7
"132","Brian Peters","ILB","Ankle","Out","Houston Texans",7
"142","Deshaun Watson","QB","Chest","Not Listed","Houston Texans",7
"152","Shareece Wright","CB","Shoulder/Hand/Groin","Out","Houston Texans",7
"25","Will Compton","LB","Hamstring","Out","Tennessee Titans",7
"35","Bennie Logan","DT","Elbow","Not Listed","Tennessee Titans",7
"45","Derrick Morgan","LB","Shoulder","Out","Tennessee Titans",7
"55","Quinton Spain","G","Shoulder","Questionable","Tennessee Titans",7
"65","Kenny Vaccaro","SS","Elbow","Questionable","Tennessee Titans",7
"75","Wesley Woodyard","ILB","Shoulder","Not Listed","Tennessee Titans",7
"26","Denico Autry","DT/DE","Hamstring","Out","Indianapolis Colts",7
"36","Jack Doyle","TE","Hip","Out","Indianapolis Colts",7
"46","Clayton Geathers","S","Concussion/Neck","Out","Indianapolis Colts",7
"56","Ryan Grant","WR","Ankle","Out","Indianapolis Colts",7
"66","T.Y. Hilton","WR","Chest/Hamstring","Not Listed","Indianapolis Colts",7
"76","Margus Hunt","DT","Knee","Not Listed","Indianapolis Colts",7
"84","Darius Leonard","LB","Ankle","Not Listed","Indianapolis Colts",7
"94","Chris Milton","CB","Hamstring","Questionable","Indianapolis Colts",7
"104","Erik Swoope","TE","Knee","Questionable","Indianapolis Colts",7
"114","Al Woods","DT","Not Injury Related — Rest","Not Listed","Indianapolis Colts",7
"27","Calais Campbell","DL","Ankle","Questionable","Jacksonville Jaguars",7
"37","Leonard Fournette","RB","Hamstring","Out","Jacksonville Jaguars",7
"47","D.J. Hayden","CB","Toe","Out","Jacksonville Jaguars",7
"57","Tre Herndon","CB","Hamstring","Questionable","Jacksonville Jaguars",7
"67","Brandon Linder","OL","Knee","Not Listed","Jacksonville Jaguars",7
"77","Andrew Norwell","OL","Foot","Not Listed","Jacksonville Jaguars",7
"85","James O'Shaughnessy","TE","Hip","Out","Jacksonville Jaguars",7
"95","Jermey Parnell","OL","Knee","Not Listed","Jacksonville Jaguars",7
"105","Will Richardson Jr.","OL","Knee","Questionable","Jacksonville Jaguars",7
"115","T.J. Yeldon","RB","Foot/Ankle","Not Listed","Jacksonville Jaguars",7
"28","Anthony Averett","CB","Hamstring","Questionable","Baltimore Ravens",7
"38","John Brown","WR","NIR","Not Listed","Baltimore Ravens",7
"48","Brandon Carr","CB","Knee","Not Listed","Baltimore Ravens",7
"58","Marlon Humphrey","CB","Thigh","Questionable","Baltimore Ravens",7
"68","James Hurst","G/T","Back","Questionable","Baltimore Ravens",7
"78","Anthony Levine Sr.","DB/LB","Hamstring","Questionable","Baltimore Ravens",7
"86","Alex Lewis","G/T","Neck","Out","Baltimore Ravens",7
"96","Eric Weddle","S","NI","Not Listed","Baltimore Ravens",7
