"","Player","Position","Injury","Game Status","Team","Week"
"2","Ryan Allen","P","Left Ankle","Not Listed","New England Patriots",9
"3","Trent Brown","OL","Ankle","Questionable","New England Patriots",9
"4","Marcus Cannon","OL","Concussion","Questionable","New England Patriots",9
"5","Joe Cardona","LS","Shoulder","Questionable","New England Patriots",9
"6","Julian Edelman","WR","Ankle","Questionable","New England Patriots",9
"7","Josh Gordon","WR","Hamstring","Questionable","New England Patriots",9
"8","Nicholas Grigsby","LB","Illness","Questionable","New England Patriots",9
"9","Rob Gronkowski","TE","Ankle/Back","Questionable","New England Patriots",9
"10","Dont'a Hightower","LB","Knee","Questionable","New England Patriots",9
"11","Jacob Hollister","TE","Hamstring","Questionable","New England Patriots",9
"12","Shaq Mason","OL","Calf","Out","New England Patriots",9
"13","Sony Michel","RB","Knee","Questionable","New England Patriots",9
"14","Cordarrelle Patterson","WR","Neck","Questionable","New England Patriots",9
"15","Brian Schwenke","OL","Foot","Out","New England Patriots",9
"16","John Simon","DE","Shoulder","Questionable","New England Patriots",9
"17","Deatrich Wise Jr.","DL","Illness","Not Listed","New England Patriots",9
"21","Jesse Davis","OT","Elbow","Not Listed","Miami Dolphins",9
"31","A.J. Derby","TE","Foot","Questionable","Miami Dolphins",9
"41","Kenyan Drake","RB","Shoulder","Not Listed","Miami Dolphins",9
"51","Jakeem Grant","WR","Achilles","Not Listed","Miami Dolphins",9
"61","Charles Harris","DE","Calf","Out","Miami Dolphins",9
"71","Xavien Howard","CB","Ankle","Questionable","Miami Dolphins",9
"81","Reshad Jones","FS","Shoulder","Not Listed","Miami Dolphins",9
"91","Ted Larsen","C/G","Neck","Not Listed","Miami Dolphins",9
"101","T.J. McDonald","S","Knee","Not Listed","Miami Dolphins",9
"111","Robert Quinn","DE","Ankle","Not Listed","Miami Dolphins",9
"121","Kenny Stills","WR","Groin","Questionable","Miami Dolphins",9
"131","Travis Swanson","C","Elbow","Not Listed","Miami Dolphins",9
"141","Cordrea Tankersley","CB","Knee","Out","Miami Dolphins",9
"151","Ryan Tannehill","QB","Shoulder (right)","Out","Miami Dolphins",9
"22","Lorenzo Alexander","LB","Rest","Not Listed","Buffalo Bills",9
"32","Josh Allen","QB","Right Elbow","Out","Buffalo Bills",9
"42","Derek Anderson","QB","Concussion","Out","Buffalo Bills",9
"52","Tremaine Edmunds","LB","Concussion","Out","Buffalo Bills",9
"62","Trent Murphy","DE","Knee","Out","Buffalo Bills",9
"72","Kyle Williams","DT","Rest","Not Listed","Buffalo Bills",9
"23","Robby Anderson","WR","Ankle","Questionable","New York Jets",9
"33","Kelvin Beachum","T","Knee/Ankle","Not Listed","New York Jets",9
"43","Trenton Cannon","RB","Finger","Not Listed","New York Jets",9
"53","James Carpenter","G","Shoulder","Not Listed","New York Jets",9
"63","Morris Claiborne","CB","Non-Injury","Not Listed","New York Jets",9
"73","Quincy Enunwa","WR","Ankle","Questionable","New York Jets",9
"82","Jordan Jenkins","LB","Ankle","Not Listed","New York Jets",9
"92","Trumaine Johnson","CB","Quadriceps","Doubtful","New York Jets",9
"102","Spencer Long","C","Knee/Finger","Not Listed","New York Jets",9
"112","Frankie Luvu","LB","Neck","Questionable","New York Jets",9
"122","Marcus Maye","S","Thumb","Not Listed","New York Jets",9
"132","Steve McLendon","DL","Ankle","Questionable","New York Jets",9
"142","Kevin Pierre-Louis","LB","Foot","Doubtful","New York Jets",9
"152","Andre Roberts","WR","Back","Questionable","New York Jets",9
"161","Neal Sterling","TE","Concussion","Out","New York Jets",9
"24","Jadeveon Clowney","DE/OLB","Groin","Questionable","Houston Texans",9
"34","Aaron Colvin","CB","Ankle","Questionable","Houston Texans",9
"44","Keke Coutee","WR","Hamstring","Questionable","Houston Texans",9
"54","Zach Cunningham","ILB","Knee","Out","Houston Texans",9
"64","Zach Fulton","C/G","Ankle","Not Listed","Houston Texans",9
"74","Ryan Griffin","TE","Illness","Not Listed","Houston Texans",9
"83","Andre Hal","S","Shoulder","Questionable","Houston Texans",9
"93","DeAndre Hopkins","WR","Foot","Not Listed","Houston Texans",9
"103","Johnathan Joseph","CB","Ankle/Knee","Questionable","Houston Texans",9
"113","Peter Kalambayi","ILB","Concussion","Not Listed","Houston Texans",9
"123","Josh Keyes","ILB","Foot","Not Listed","Houston Texans",9
"133","Brian Peters","ILB","Ankle","Not Listed","Houston Texans",9
"143","Brennan Scarlett","OLB","Groin","Not Listed","Houston Texans",9
"153","Deshaun Watson","QB","Chest","Not Listed","Houston Texans",9
"162","Shareece Wright","CB","Hand/Groin","Not Listed","Houston Texans",9
"25","Will Compton","LB","Hamstring","Questionable","Tennessee Titans",9
"35","Corey Davis","WR","Hamstring","Not Listed","Tennessee Titans",9
"45","Josh Kline","G","Ankle","Not Listed","Tennessee Titans",9
"55","Derrick Morgan","LB","Shoulder","Out","Tennessee Titans",9
"65","Quinton Spain","G","Shoulder","Not Listed","Tennessee Titans",9
"75","Kenny Vaccaro","SS","Elbow","Not Listed","Tennessee Titans",9
"26","Bud Dupree","LB","Illness","Not Listed","Pittsburgh Steelers",9
"36","Ramon Foster","G","Coaches Decision","Not Listed","Pittsburgh Steelers",9
"46","Marcus Gilbert","OT","Knee","Not Listed","Pittsburgh Steelers",9
"56","Maurkice Pouncey","C","Coaches Decision","Not Listed","Pittsburgh Steelers",9
"66","Ben Roethlisberger","QB","Finger,Left/Coaches Decision","Not Listed","Pittsburgh Steelers",9
"76","Coty Sensabaugh","CB","Toe","Not Listed","Pittsburgh Steelers",9
"27","Bradley Bozeman","C","Calf","Questionable","Baltimore Ravens",9
"37","Brandon Carr","CB","NIR","Not Listed","Baltimore Ravens",9
"47","Alex Collins","RB","Foot","Questionable","Baltimore Ravens",9
"57","Marlon Humphrey","CB","Thigh","Questionable","Baltimore Ravens",9
"67","James Hurst","G/T","Back","Out","Baltimore Ravens",9
"77","Tony Jefferson","S","Hamstring","Questionable","Baltimore Ravens",9
"84","Jordan Lasley","WR","Hamstring","Not Listed","Baltimore Ravens",9
"94","Alex Lewis","G/T","Neck","Questionable","Baltimore Ravens",9
"104","C.J. Mosley","ILB","Thigh","Questionable","Baltimore Ravens",9
"114","Jimmy Smith","CB","NIR","Not Listed","Baltimore Ravens",9
"124","Ronnie Stanley","T","Ankle","Out","Baltimore Ravens",9
"134","Terrell Suggs","OLB","NIR","Not Listed","Baltimore Ravens",9
"144","Tim Williams","OLB","Ankle","Out","Baltimore Ravens",9
"28","Antonio Callaway","WR","Ankle","Questionable","Cleveland Browns",9
"38","Austin Corbett","OL","Foot","Not Listed","Cleveland Browns",9
"48","E.J. Gaines","DB","Concussion","Not Listed","Cleveland Browns",9
"58","Desmond Harrison","OL","Illness","Questionable","Cleveland Browns",9
"68","Rashard Higgins","WR","Knee","Questionable","Cleveland Browns",9
"78","Chris Hubbard","OL","Toe","Not Listed","Cleveland Browns",9
"85","Duke Johnson Jr.","RB","Thigh","Not Listed","Cleveland Browns",9
"95","David Njoku","TE","Knee","Not Listed","Cleveland Browns",9
"105","Damarious Randall","DB","Groin","Questionable","Cleveland Browns",9
"115","Joe Schobert","LB","Hamstring","Out","Cleveland Browns",9
"125","Tavierre Thomas","DB","Abdomen","Questionable","Cleveland Browns",9
"135","JC Tretter","OL","Ankle","Questionable","Cleveland Browns",9
"29","Joey Bosa","DE","Foot","Out","Los Angeles Chargers",9
"39","Melvin Gordon III","RB","Hamstring","Questionable","Los Angeles Chargers",9
"49","Chris Landrum","DE","Hip","Out","Los Angeles Chargers",9
"59","Kyzir White","LB","Knee","Out","Los Angeles Chargers",9
"210","Eric Berry","DB","Heel","Doubtful","Kansas City Chiefs",9
"310","Cam Erving","OL","Neck","Not Listed","Kansas City Chiefs",9
"410","Tyreek Hill","WR","Groin","Not Listed","Kansas City Chiefs",9
"510","Anthony Hitchens","LB","Rib","Questionable","Kansas City Chiefs",9
"69","Justin Houston","LB","Hamstring","Questionable","Kansas City Chiefs",9
"79","Travis Kelce","TE","Shoulder","Not Listed","Kansas City Chiefs",9
"86","Tanoh Kpassagnon","LB","Ankle","Not Listed","Kansas City Chiefs",9
"96","Mitch Morse","OL","Concussion","Out","Kansas City Chiefs",9
"106","Andrew Wylie","OL","Back","Not Listed","Kansas City Chiefs",9
"116","Frank Zombo","LB","Hamstring","Out","Kansas City Chiefs",9
"211","Royce Freeman","RB","Ankle","Questionable","Denver Broncos",9
"311","DaeSean Hamilton","WR","Knee","Out","Denver Broncos",9
"411","Andy Janovich","FB","Thigh","Not Listed","Denver Broncos",9
"511","Brandon Marshall","ILB","Knee","Out","Denver Broncos",9
"610","Von Miller","OLB","Knee","Not Listed","Denver Broncos",9
"710","Domata Peko Sr.","NT","Elbow","Not Listed","Denver Broncos",9
"87","Shane Ray","OLB","Ankle/Wrist","Not Listed","Denver Broncos",9
"97","Bradley Roby","CB","Ankle","Out","Denver Broncos",9
"107","Darian Stewart","S","Neck","Out","Denver Broncos",9
"117","Jared Veldheer","T","Knee","Not Listed","Denver Broncos",9
"212","T.J. Clemmings","T","Knee","Out","Oakland Raiders",9
"312","Gareon Conley","CB","Foot","Questionable","Oakland Raiders",9
"412","Jon Feliciano","G/C","Ribs","Not Listed","Oakland Raiders",9
"512","Dwayne Harris","WR/RS","Shoulder","Not Listed","Oakland Raiders",9
"611","Rodney Hudson","C","Ankle","Not Listed","Oakland Raiders",9
"711","Gabe Jackson","G","Pectoral","Not Listed","Oakland Raiders",9
"88","Kolton Miller","T","Knee","Not Listed","Oakland Raiders",9
"98","Kelechi Osemele","G/T","Knee","Questionable","Oakland Raiders",9
"108","Daryl Worley","CB","Shoulder","Questionable","Oakland Raiders",9
"213","Tavon Austin","WR","Groin","Out","Dallas Cowboys",9
"313","Chidobe Awuzie","CB","Ankle","Not Listed","Dallas Cowboys",9
"413","Randy Gregory","DE","Knee","Questionable","Dallas Cowboys",9
"513","David Irving","DL","Ankle","Out","Dallas Cowboys",9
"612","Byron Jones","CB","Not Injury Related","Not Listed","Dallas Cowboys",9
"712","Zack Martin","G","Knee","Questionable","Dallas Cowboys",9
"89","Geoff Swaim","TE","Knee","Doubtful","Dallas Cowboys",9
"99","Joe Thomas","LB","Foot","Out","Dallas Cowboys",9
"214","Ryan Anderson","LB","Knee","Questionable","Washington Redskins",9
"314","Kapri Bibbs","RB","Shoulder","Questionable","Washington Redskins",9
"414","Zach Brown","LB","Oblique","Not Listed","Washington Redskins",9
"514","Jamison Crowder","WR","Ankle","Out","Washington Redskins",9
"613","Quinton Dunbar","CB","Shin","Not Listed","Washington Redskins",9
"713","Maurice Harris","WR","Shoulder","Not Listed","Washington Redskins",9
"810","Danny Johnson","CB","Forearm","Not Listed","Washington Redskins",9
"910","Shawn Lauvao","G","Calf","Not Listed","Washington Redskins",9
"109","Colt McCoy","QB","Right Thumb","Not Listed","Washington Redskins",9
"118","Morgan Moses","T","Elbow","Not Listed","Washington Redskins",9
"126","Montae Nicholson","S","Neck/Hip","Questionable","Washington Redskins",9
"136","Adrian Peterson","RB","Shoulder","Not Listed","Washington Redskins",9
"145","Jordan Reed","TE","Neck","Not Listed","Washington Redskins",9
"154","Paul Richardson Jr.","WR","Shoulder/Knee","Questionable","Washington Redskins",9
