"","Player","Position","Injury","Game Status","Team","Week"
"2","Dwayne Allen","TE","Knee","Out","New England Patriots",14
"3","Tom Brady","QB","Knee","Not Listed","New England Patriots",14
"4","Patrick Chung","S","Shoulder","Not Listed","New England Patriots",14
"5","Stephon Gilmore","CB","Ankle","Questionable","New England Patriots",14
"6","Rob Gronkowski","TE","Ankle / Back","Not Listed","New England Patriots",14
"21","Danny Amendola","WR","Knee","Questionable","Miami Dolphins",14
"31","Cornell Armstrong","CB","Knee","Not Listed","Miami Dolphins",14
"41","Jake Brendel","C","Calf","Out","Miami Dolphins",14
"51","Kenyan Drake","RB","Shoulder","Not Listed","Miami Dolphins",14
"61","Frank Gore","RB","Not Injury Related","Not Listed","Miami Dolphins",14
"7","Xavien Howard","CB","Knee","Out","Miami Dolphins",14
"8","Ja'Wuan James","OT","Knee","Not Listed","Miami Dolphins",14
"9","Reshad Jones","FS","Shoulde","Not Listed","Miami Dolphins",14
"10","Ted Larsen","C/G","Neck","Not Listed","Miami Dolphins",14
"11","Bobby McCain","CB","Knee","Not Listed","Miami Dolphins",14
"12","DeVante Parker","WR","Shoulder","Not Listed","Miami Dolphins",14
"13","Travis Swanson","C","Ankle","Questionable","Miami Dolphins",14
"14","Ryan Tannehill","QB","Shoulder (right)","Not Listed","Miami Dolphins",14
"15","Laremy Tunsil","OT","Knee","Not Listed","Miami Dolphins",14
"16","Cameron Wake","DE","Not Injury Related","Not Listed","Miami Dolphins",14
"22","Lorenzo Alexander","LB","Rest","Not Listed","Buffalo Bills",14
"32","Derek Anderson","QB","Concussion","Out","Buffalo Bills",14
"42","Jason Croom","TE","Groin","Doubtful","Buffalo Bills",14
"52","Taron Johnson","CB","Shoulder","Out","Buffalo Bills",14
"62","Isaiah McKenzie","WR","Toe","Questionable","Buffalo Bills",14
"71","John Miller","G","Oblique","Not Listed","Buffalo Bills",14
"81","Kyle Williams","DT","Rest","Not Listed","Buffalo Bills",14
"23","Robby Anderson","WR","Ankle","Questionable","New York Jets",14
"33","Kelvin Beachum","T","Knee","Not Listed","New York Jets",14
"43","Trenton Cannon","RB","Hamstring","Not Listed","New York Jets",14
"53","Morris Claiborne","CB","Shoulder/Neck","Not Listed","New York Jets",14
"63","Isaiah Crowell","RB","Toe","Questionable","New York Jets",14
"72","Sam Darnold","QB","Foot","Not Listed","New York Jets",14
"82","Quincy Enunwa","WR","Ankle","Not Listed","New York Jets",14
"91","Jordan Jenkins","LB","Shoulder","Not Listed","New York Jets",14
"101","Darron Lee","LB","Non-Injury","Not Listed","New York Jets",14
"111","Jordan Leggett","TE","Knee","Questionable","New York Jets",14
"121","Spencer Long","C","Knee/Finger/Illness","Not Listed","New York Jets",14
"131","Josh McCown","QB","Back","Not Listed","New York Jets",14
"141","Kevin Pierre-Louis","LB","Thumb","Not Listed","New York Jets",14
"151","Andre Roberts","WR","Foot","Not Listed","New York Jets",14
"161","Buster Skrine","CB","Shoulder","Questionable","New York Jets",14
"17","Eric Tomlinson","TE","Elbow","Not Listed","New York Jets",14
"24","Dylan Cole","ILB","Wrist/Ankle","Not Listed","Houston Texans",14
"34","Aaron Colvin","CB","Ankle","Not Listed","Houston Texans",14
"44","Keke Coutee","WR","Hamstring","Questionable","Houston Texans",14
"54","Zach Cunningham","ILB","Knee","Not Listed","Houston Texans",14
"64","Trevor Daniel","P","Right Hip","Not Listed","Houston Texans",14
"73","D'Onta Foreman","RB","Achilles","Not Listed","Houston Texans",14
"83","Zach Fulton","C/G","Hand","Out","Houston Texans",14
"92","DeAndre Hopkins","WR","Foot","Not Listed","Houston Texans",14
"102","Kareem Jackson","CB/S","Groin","Not Listed","Houston Texans",14
"112","Johnathan Joseph","CB","Neck/Shoulder","Questionable","Houston Texans",14
"122","Senio Kelemete","G","Ankle","Not Listed","Houston Texans",14
"132","Kendall Lamm","T","Concussion","Not Listed","Houston Texans",14
"142","Brian Peters","ILB","Ankle","Not Listed","Houston Texans",14
"152","Justin Reid","S","Shoulder/Wrist","Not Listed","Houston Texans",14
"162","Brennan Scarlett","OLB","Ankle","Questionable","Houston Texans",14
"171","Deshaun Watson","QB","Right Shoulder","Not Listed","Houston Texans",14
"18","J.J. Watt","DE","Knee","Not Listed","Houston Texans",14
"25","Mo Alie-Cox","TE","Calf","Out","Indianapolis Colts",14
"35","Denico Autry","DT/DE","Back","Questionable","Indianapolis Colts",14
"45","Anthony Castonzo","T","Kne","Not Listed","Indianapolis Colts",14
"55","Eric Ebron","TE","Back/Illness","Not Listed","Indianapolis Colts",14
"65","Clayton Geathers","S","Knee","Not Listed","Indianapolis Colts",14
"74","Nate Hairston","CB","Ankle","Questionable","Indianapolis Colts",14
"84","T.Y. Hilton","WR","Shoulder","Questionable","Indianapolis Colts",14
"93","Malik Hooker","S","Hip","Not Listed","Indianapolis Colts",14
"103","Margus Hunt","DT","Knee","Questionable","Indianapolis Colts",14
"113","Dontrelle Inman","WR","Shoulder","Out","Indianapolis Colts",14
"123","Ryan Kelly","C","Knee","Out","Indianapolis Colts",14
"133","Chris Milton","CB","Hamstring","Questionable","Indianapolis Colts",14
"143","Mike Mitchell","S","Calf","Out","Indianapolis Colts",14
