"","Player","Position","Injury","Game Status","Team","Week"
"2","Anthony Castonzo","T","Kne","Not Listed","Indianapolis Colts",18
"3","Eric Ebron","TE","Not Injury Related (Rest)","Not Listed","Indianapolis Colts",18
"4","Daurice Fountain","WR","Ankle","Not Listed","Indianapolis Colts",18
"5","Clayton Geathers","S","Knee","Questionable","Indianapolis Colts",18
"6","Ryan Grant","WR","Toe","Out","Indianapolis Colts",18
"7","T.Y. Hilton","WR","Ankle","Questionable","Indianapolis Colts",18
"8","Malik Hooker","S","Hip","Not Listed","Indianapolis Colts",18
"9","Dontrelle Inman","WR","Shoulder/Finger","Questionable","Indianapolis Colts",18
"10","Ryan Kelly","C","Neck","Not Listed","Indianapolis Colts",18
"11","Darius Leonard","LB","Ankle","Not Listed","Indianapolis Colts",18
"12","Tyquan Lewis","DT/DE","Knee","Out","Indianapolis Colts",18
"13","Zach Pascal","WR","Knee","Questionable","Indianapolis Colts",18
"14","Jabaal Sheard","DE","Knee","Questionable","Indianapolis Colts",18
"15","Anthony Walker","LB","Shoulder","Not Listed","Indianapolis Colts",18
"16","J.J. Wilcox","S","Ankle","Questionable","Indianapolis Colts",18
"17","Jordan Wilkins","RB","Knee/Ankle","Not Listed","Indianapolis Colts",18
"21","Dylan Cole","ILB","Wrist","Not Listed","Houston Texans",18
"31","Keke Coutee","WR","Hamstring","Questionable","Houston Texans",18
"41","Brandon Dunn","NT","Ankle","Not Listed","Houston Texans",18
"51","Zach Fulton","C/G","Hand","Not Listed","Houston Texans",18
"61","Andre Hal","S","Ankle","Not Listed","Houston Texans",18
"71","DeAndre Hopkins","WR","Ankle","Not Listed","Houston Texans",18
"81","Buddy Howell","RB","Hamstring","Questionable","Houston Texans",18
"91","Johnathan Joseph","CB","Neck","Not Listed","Houston Texans",18
"101","Senio Kelemete","G","Knee/Rib","Not Listed","Houston Texans",18
"111","Benardrick McKinney","ILB","Heel","Not Listed","Houston Texans",18
"121","Justin Reid","S","Wrist","Not Listed","Houston Texans",18
"131","J.J. Watt","DE","Elbow/Knee","Not Listed","Houston Texans",18
"22","Doug Baldwin","WR","Knee","Not Listed","Seattle Seahawks",18
"32","Duane Brown","T","Knee","Not Listed","Seattle Seahawks",18
"42","Chris Carson","RB","NIR","Not Listed","Seattle Seahawks",18
"52","Mike Davis","RB","Foot","Not Listed","Seattle Seahawks",18
"62","D.J. Fluker","G/T","Hamstring","Not Listed","Seattle Seahawks",18
"72","Shaquill Griffin","CB","Ankle","Not Listed","Seattle Seahawks",18
"82","Dion Jordan","DE","Knee","Not Listed","Seattle Seahawks",18
"92","Tre Madden","FB","Hamstring","Doubtful","Seattle Seahawks",18
"102","Bradley McDougald","FS","Knee","Not Listed","Seattle Seahawks",18
"112","J.R. Sweezy","G","Foot","Questionable","Seattle Seahawks",18
