"","Player","Position","Injury","Game Status","Team","Week"
"2","Malcom Brown","DL","Knee","Questionable","New England Patriots",6
"3","Josh Gordon","WR","Hamstring","Questionable","New England Patriots",6
"4","Rob Gronkowski","TE","Ankle","Questionable","New England Patriots",6
"5","Chris Hogan","WR","Thigh","Questionable","New England Patriots",6
"6","Sony Michel","RB","Knee","Questionable","New England Patriots",6
"7","Eric Rowe","DB","Groin","Questionable","New England Patriots",6
"8","Danny Shelton","DL","Elbow","Questionable","New England Patriots",6
"9","John Simon","DE","Shoulder","Questionable","New England Patriots",6
"21","Chase Allen","OLB","Foot","Questionable","Miami Dolphins",6
"31","Danny Amendola","WR","Not Injury Related","Not Listed","Miami Dolphins",6
"41","Andre Branch","DE","Knee","Questionable","Miami Dolphins",6
"51","A.J. Derby","TE","Foot","Questionable","Miami Dolphins",6
"61","Jakeem Grant","WR","Shoulder","Questionable","Miami Dolphins",6
"71","Reshad Jones","FS","Shoulder","Not Listed","Miami Dolphins",6
"81","Bobby McCain","CB","Knee","Questionable","Miami Dolphins",6
"91","T.J. McDonald","S","Foot","Questionable","Miami Dolphins",6
"10","DeVante Parker","WR","Quadricep","Questionable","Miami Dolphins",6
"11","Robert Quinn","DE","Not Injury Related","Not Listed","Miami Dolphins",6
"12","Durham Smythe","TE","Ankle","Not Listed","Miami Dolphins",6
"13","Ryan Tannehill","QB","Shoulder (right)","Questionable","Miami Dolphins",6
"14","Laremy Tunsil","OT","Concussion","Questionable","Miami Dolphins",6
"15","Cameron Wake","DE","Knee","Doubtful","Miami Dolphins",6
"16","Albert Wilson","WR","Abdomen","Not Listed","Miami Dolphins",6
"22","Lorenzo Alexander","LB","Rest","Not Listed","Buffalo Bills",6
"32","Rafael Bush","S","Shoulder","Not Listed","Buffalo Bills",6
"42","Charles Clay","TE","Rest","Not Listed","Buffalo Bills",6
"52","Micah Hyde","S","Groin","Not Listed","Buffalo Bills",6
"62","John Miller","G","Ankle","Not Listed","Buffalo Bills",6
"72","Tre'Davious White","CB","Ankle","Not Listed","Buffalo Bills",6
"82","Kyle Williams","DT","Rest","Not Listed","Buffalo Bills",6
"23","Kelvin Beachum","T","Foot","Not Listed","New York Jets",6
"33","Isaiah Crowell","RB","Ankle","Questionable","New York Jets",6
"43","Folorunso Fatukasi","DL","Hamstring","Not Listed","New York Jets",6
"53","Trumaine Johnson","CB","Quadriceps","Doubtful","New York Jets",6
"63","Spencer Long","C","Knee/Finger","Not Listed","New York Jets",6
"73","Marcus Maye","S","Ankle/Foot","Questionable","New York Jets",6
"83","Doug Middleton","S","Hamstring","Questionable","New York Jets",6
"92","Charone Peake","WR","Hamstring","Out","New York Jets",6
"101","Kevin Pierre-Louis","LB","Foot","Doubtful","New York Jets",6
"111","Andre Roberts","WR","Elbow/Foot","Not Listed","New York Jets",6
"121","Nathan Shepherd","DL","Shoulder","Not Listed","New York Jets",6
"131","Buster Skrine","CB","Concussion","Out","New York Jets",6
"141","Neal Sterling","TE","Concussion","Not Listed","New York Jets",6
"151","Leonard Williams","DL","Back","Not Listed","New York Jets",6
"24","Jadeveon Clowney","DE/OLB","Illness","Not Listed","Houston Texans",6
"34","Sammie Coates Jr.","WR","Hamstring","Not Listed","Houston Texans",6
"44","Aaron Colvin","CB","Ankle","Out","Houston Texans",6
"54","Keke Coutee","WR","Hamstring","Not Listed","Houston Texans",6
"64","Will Fuller V","WR","Hamstring","Not Listed","Houston Texans",6
"74","Ryan Griffin","TE","Toe","Not Listed","Houston Texans",6
"84","DeAndre Hopkins","WR","Foot","Not Listed","Houston Texans",6
"93","Kareem Jackson","CB/S","Finger","Not Listed","Houston Texans",6
"102","Johnathan Joseph","CB","Hip","Not Listed","Houston Texans",6
"112","Lamar Miller","RB","Chest","Not Listed","Houston Texans",6
"122","Brian Peters","ILB","Ankle","Out","Houston Texans",6
"132","Brennan Scarlett","OLB","Groin","Not Listed","Houston Texans",6
"142","Deshaun Watson","QB","Chest","Questionable","Houston Texans",6
"152","Shareece Wright","CB","Shoulder/Hand","Not Listed","Houston Texans",6
"25","Will Compton","LB","Hamstring","Out","Tennessee Titans",6
"35","Kamalei Correa","LB","Foot","Questionable","Tennessee Titans",6
"45","Dennis Kelly","T","Illness","Not Listed","Tennessee Titans",6
"55","Taylor Lewan","T","Foot","Not Listed","Tennessee Titans",6
"65","Bennie Logan","DT","Elbow","Questionable","Tennessee Titans",6
"75","Kenny Vaccaro","SS","Elbow","Out","Tennessee Titans",6
"85","Wesley Woodyard","ILB","Shoulder","Questionable","Tennessee Titans",6
"26","Denico Autry","DT/DE","Hamstring","Out","Indianapolis Colts",6
"36","Anthony Castonzo","T","Hamstring","Not Listed","Indianapolis Colts",6
"46","Jack Doyle","TE","Hip","Out","Indianapolis Colts",6
"56","Eric Ebron","TE","Shin/Quadricep/Ankle/Knee","Questionable","Indianapolis Colts",6
"66","Matthias Farley","S","Shoulder/Groin/Wrist","Out","Indianapolis Colts",6
"76","Clayton Geathers","S","Concussion/Neck","Out","Indianapolis Colts",6
"86","Nate Hairston","CB","Ankle","Not Listed","Indianapolis Colts",6
