"","Player","Position","Injury","Game Status","Team","Week"
"2","Adam Butler","DL","Knee","Questionable","New England Patriots",5
"3","Josh Gordon","WR","Hamstring","Questionable","New England Patriots",5
"4","Rob Gronkowski","TE","Ankle","Questionable","New England Patriots",5
"5","Jacob Hollister","TE","Chest","Questionable","New England Patriots",5
"6","Brandon King","LB","Foot","Not Listed","New England Patriots",5
"7","Elandon Roberts","LB","Calf","Questionable","New England Patriots",5
"8","Eric Rowe","DB","Groin","Questionable","New England Patriots",5
"9","Danny Shelton","DL","Elbow","Questionable","New England Patriots",5
"10","LaAdrian Waddle","OL","Illness","Not Listed","New England Patriots",5
"21","Walt Aikens","CB","Hamstring","Not Listed","Miami Dolphins",5
"31","Chase Allen","OLB","Foot","Questionable","Miami Dolphins",5
"41","Danny Amendola","WR","Not Injury Related","Not Listed","Miami Dolphins",5
"51","Stephone Anthony","OLB","Hamstring","Questionable","Miami Dolphins",5
"61","Brandon Bolden","RB","Hamstring","Questionable","Miami Dolphins",5
"71","Andre Branch","DE","Knee","Questionable","Miami Dolphins",5
"81","A.J. Derby","TE","Foot","Out","Miami Dolphins",5
"91","Luke Falk","QB","Wrist","Out","Miami Dolphins",5
"101","Ja'Wuan James","OT","Pectoral","Not Listed","Miami Dolphins",5
"11","Reshad Jones","FS","Shoulder","Questionable","Miami Dolphins",5
"12","Bobby McCain","CB","Knee","Out","Miami Dolphins",5
"13","T.J. McDonald","S","Foot","Questionable","Miami Dolphins",5
"14","DeVante Parker","WR","Quadricep","Questionable","Miami Dolphins",5
"15","Cameron Wake","DE","Knee","Out","Miami Dolphins",5
"22","Lorenzo Alexander","LB","Rest","Not Listed","Buffalo Bills",5
"32","Rafael Bush","S","Shoulder","Questionable","Buffalo Bills",5
"42","Charles Clay","TE","Ankle","Questionable","Buffalo Bills",5
"52","Micah Hyde","S","Groin","Questionable","Buffalo Bills",5
"62","Shaq Lawson","DE","Hamstring","Not Listed","Buffalo Bills",5
"72","Marcus Murphy","RB","Rib","Not Listed","Buffalo Bills",5
"82","Kyle Williams","DT","Rest","Not Listed","Buffalo Bills",5
"23","Henry Anderson","DL","Knee","Not Listed","New York Jets",5
"33","Kelvin Beachum","T","Foot","Not Listed","New York Jets",5
"43","Quincy Enunwa","WR","Hip","Not Listed","New York Jets",5
"53","Trumaine Johnson","CB","Quadriceps","Out","New York Jets",5
"63","Spencer Long","C","Knee/Finge","Not Listed","New York Jets",5
"73","Marcus Maye","S","Ankle/Foot","Questionable","New York Jets",5
"83","Steve McLendon","DL","Knee","Not Listed","New York Jets",5
"92","Doug Middleton","S","Knee","Not Listed","New York Jets",5
"102","Charone Peake","WR","Hamstring","Out","New York Jets",5
"111","Darryl Roberts","CB","Hamstring","Not Listed","New York Jets",5
"121","Buster Skrine","CB","Knee/Non-Injury (FRI)","Not Listed","New York Jets",5
"131","Neal Sterling","TE","Concussion","Out","New York Jets",5
"141","Leonard Williams","DL","Knee","Not Listed","New York Jets",5
"151","Avery Williamson","LB","Thumb","Not Listed","New York Jets",5
"24","Jadeveon Clowney","DE/OLB","Foot","Not Listed","Houston Texans",5
"34","Sammie Coates Jr.","WR","Hamstring","Not Listed","Houston Texans",5
"44","Aaron Colvin","CB","Ankle","Out","Houston Texans",5
"54","Keke Coutee","WR","Hamstring","Questionable","Houston Texans",5
"64","Will Fuller V","WR","Hamstring","Questionable","Houston Texans",5
"74","Zach Fulton","C/G","Shoulder","Not Listed","Houston Texans",5
"84","DeAndre Hopkins","WR","Thumb/Ankle/Hamstring","Not Listed","Houston Texans",5
"93","Kareem Jackson","CB/S","Thumb","Not Listed","Houston Texans",5
"103","Johnathan Joseph","CB","Groin","Not Listed","Houston Texans",5
"112","Senio Kelemete","G","Knee","Not Listed","Houston Texans",5
"122","Kendall Lamm","T","Shoulder","Not Listed","Houston Texans",5
"132","Nick Martin","C","Ankle","Not Listed","Houston Texans",5
"142","Lamar Miller","RB","Chest","Questionable","Houston Texans",5
"152","Brian Peters","ILB","Ankle","Out","Houston Texans",5
"16","J.J. Watt","DE","Thigh","Not Listed","Houston Texans",5
"17","Kayvon Webster","CB","Achilles","Not Listed","Houston Texans",5
"18","Shareece Wright","CB","Shoulder","Not Listed","Houston Texans",5
"25","Anthony Castonzo","T","Hamstring","Questionable","Indianapolis Colts",5
"35","Jack Doyle","TE","Hip","Out","Indianapolis Colts",5
"45","Eric Ebron","TE","Knee","Not Listed","Indianapolis Colts",5
"55","Clayton Geathers","S","Knee","Questionable","Indianapolis Colts",5
"65","Nate Hairston","CB","Ankle","Questionable","Indianapolis Colts",5
"75","T.Y. Hilton","WR","Chest/Hamstring","Out","Indianapolis Colts",5
"85","Malik Hooker","S","Hip","Not Listed","Indianapolis Colts",5
"94","Ryan Kelly","C","Hand","Questionable","Indianapolis Colts",5
"104","Darius Leonard","LB","Ankle","Questionable","Indianapolis Colts",5
"113","Marlon Mack","RB","Hamstring","Out","Indianapolis Colts",5
"123","Kenny Moore II","CB","Concussion","Out","Indianapolis Colts",5
"133","Hassan Ridgeway","DT","Calf","Out","Indianapolis Colts",5
"143","Adam Vinatieri","K","Right Groin","Questionable","Indianapolis Colts",5
"153","Anthony Walker","LB","Knee","Not Listed","Indianapolis Colts",5
"161","Quincy Wilson","CB","Concussion","Out","Indianapolis Colts",5
"26","Corey Davis","WR","Illness","Not Listed","Tennessee Titans",5
"36","David Fluellen","RB","Groin","Not Listed","Tennessee Titans",5
"46","Blaine Gabbert","QB","Concussion","Not Listed","Tennessee Titans",5
"56","Dennis Kelly","T","Illness","Questionable","Tennessee Titans",5
"66","Marcus Mariota","QB","Right Elbow","Not Listed","Tennessee Titans",5
"76","Kenny Vaccaro","SS","Elbow","Out","Tennessee Titans",5
"86","Wesley Woodyard","ILB","Shoulder","Out","Tennessee Titans",5
"27","Calais Campbell","DL","Ankle","Not Listed","Jacksonville Jaguars",5
"37","A.J. Cann","OL","Triceps","Not Listed","Jacksonville Jaguars",5
"47","Leonard Fournette","RB","Hamstring","Out","Jacksonville Jaguars",5
"57","D.J. Hayden","CB","Toe","Out","Jacksonville Jaguars",5
"67","Tre Herndon","CB",NA,"Questionable","Jacksonville Jaguars",5
"77","Brandon Linder","OL","Knee/Back","Not Listed","Jacksonville Jaguars",5
"87","Andrew Norwell","OL","Foot","Not Listed","Jacksonville Jaguars",5
"95","Jermey Parnell","OL","Knee","Not Listed","Jacksonville Jaguars",5
"105","Austin Seferian-Jenkins","TE","Core Muscle Injury","Not Listed","Jacksonville Jaguars",5
"114","T.J. Yeldon","RB","Ankle","Not Listed","Jacksonville Jaguars",5
"28","Chris Boswell","K","Left Foot","Not Listed","Pittsburgh Steelers",5
"38","Morgan Burnett","S","Groin","Doubtful","Pittsburgh Steelers",5
"48","Ramon Foster","G","Knee","Not Listed","Pittsburgh Steelers",5
"58","Marcus Gilbert","OT","Coaches Decision","Not Listed","Pittsburgh Steelers",5
