"","Player","Position","Injury","Game Status","Team","Week"
"2","Dwayne Allen","TE","Knee","Out","New England Patriots",12
"3","Tom Brady","QB","Knee","Questionable","New England Patriots",12
"4","Nate Ebner","DB","Knee","Questionable","New England Patriots",12
"5","Julian Edelman","WR","Foot","Not Listed","New England Patriots",12
"6","Rob Gronkowski","TE","Ankle/Back","Questionable","New England Patriots",12
"7","Shaq Mason","OL","Calf","Questionable","New England Patriots",12
"8","Sony Michel","RB","Knee","Questionable","New England Patriots",12
"21","Danny Amendola","WR","Hamstring","Questionable","Miami Dolphins",12
"31","Stephone Anthony","OLB","Quadricep","Not Listed","Miami Dolphins",12
"41","Andre Branch","DE","Shoulder","Not Listed","Miami Dolphins",12
"51","Jesse Davis","OT","Elbow","Not Listed","Miami Dolphins",12
"61","A.J. Derby","TE","Foot/Knee","Questionable","Miami Dolphins",12
"71","Kenyan Drake","RB","Shoulder","Not Listed","Miami Dolphins",12
"81","Davon Godchaux","DT","Shin","Questionable","Miami Dolphins",12
"9","Frank Gore","RB","Not Injury Related","Not Listed","Miami Dolphins",12
"10","Jakeem Grant","WR","Achilles","Out","Miami Dolphins",12
"11","Charles Harris","DE","Calf","Not Listed","Miami Dolphins",12
"12","Xavien Howard","CB","Ankle","Not Listed","Miami Dolphins",12
"13","Ja'Wuan James","OT","Knee","Questionable","Miami Dolphins",12
"14","Reshad Jones","FS","Shoulder","Not Listed","Miami Dolphins",12
"15","Ted Larsen","C/G","Neck","Questionable","Miami Dolphins",12
"16","T.J. McDonald","S","Knee","Questionable","Miami Dolphins",12
"17","DeVante Parker","WR","Shoulder","Not Listed","Miami Dolphins",12
"18","Travis Swanson","C","Elbow","Not Listed","Miami Dolphins",12
"19","Ryan Tannehill","QB","Shoulder (right)","Not Listed","Miami Dolphins",12
"20","Laremy Tunsil","OT","Knee","Not Listed","Miami Dolphins",12
"22","Josh Allen","QB","Right Elbow","Not Listed","Buffalo Bills",12
"32","Derek Anderson","QB","Concussion","Out","Buffalo Bills",12
"42","Russell Bodine","C","Shoulder","Questionable","Buffalo Bills",12
"52","Charles Clay","TE","Hamstring","Doubtful","Buffalo Bills",12
"62","Chris Ivory","RB","Shoulder","Not Listed","Buffalo Bills",12
"72","Taron Johnson","CB","Shoulder","Questionable","Buffalo Bills",12
"82","Shaq Lawson","DE","Elbow","Questionable","Buffalo Bills",12
"91","Matt Milano","LB","Concussion","Not Listed","Buffalo Bills",12
"101","Trent Murphy","DE","Knee","Questionable","Buffalo Bills",12
"23","Robby Anderson","WR","Ankle","Questionable","New York Jets",12
"33","Kelvin Beachum","T","Knee","Not Listed","New York Jets",12
"43","Terrence Brooks","S","Thumb","Not Listed","New York Jets",12
"53","James Carpenter","G","Shoulder","Doubtful","New York Jets",12
