"","Player","Position","Injury","Game Status","Team","Week"
"2","Denico Autry","DT/DE","Shoulder","Questionable","Indianapolis Colts",19
"3","Anthony Castonzo","T","Knee","Not Listed","Indianapolis Colts",19
"4","Eric Ebron","TE","Hip","Not Listed","Indianapolis Colts",19
"5","Clayton Geathers","S","Knee","Not Listed","Indianapolis Colts",19
"6","Ryan Grant","WR","Toe","Out","Indianapolis Colts",19
"7","T.Y. Hilton","WR","Ankle","Not Listed","Indianapolis Colts",19
"8","Malik Hooker","S","Foot","Questionable","Indianapolis Colts",19
"9","Dontrelle Inman","WR","Shoulder/Finger","Not Listed","Indianapolis Colts",19
"10","Darius Leonard","LB","Shoulder/Ankle","Not Listed","Indianapolis Colts",19
"11","Tyquan Lewis","DT/DE","Knee","Out","Indianapolis Colts",19
"12","Mike Mitchell","S","Calf","Not Listed","Indianapolis Colts",19
"13","Jabaal Sheard","DE","Knee","Not Listed","Indianapolis Colts",19
"14","J.J. Wilcox","S","Ankle","Not Listed","Indianapolis Colts",19
"21","Eric Berry","DB","Heel","Questionable","Kansas City Chiefs",19
"31","Kendall Fuller","DB","Thumb","Not Listed","Kansas City Chiefs",19
"41","Tyreek Hill","WR","Heel","Not Listed","Kansas City Chiefs",19
"51","Jordan Lucas","DB","Shoulder","Not Listed","Kansas City Chiefs",19
"61","Derrick Nnadi","DL","Concussion","Not Listed","Kansas City Chiefs",19
"71","Dorian O'Daniel","LB","Calf/Ankle","Doubtful","Kansas City Chiefs",19
"81","Reggie Ragland","LB","Hip","Not Listed","Kansas City Chiefs",19
"91","Charvarius Ward","DB","Shoulder","Not Listed","Kansas City Chiefs",19
"101","Spencer Ware","RB","Hamstring","Questionable","Kansas City Chiefs",19
"111","Sammy Watkins","WR","Foot","Questionable","Kansas City Chiefs",19
"121","Xavier Williams","DL","Back/Ankle","Not Listed","Kansas City Chiefs",19
"22","Tavon Austin","WR","Groin","Not Listed","Dallas Cowboys",19
"32","Cole Beasley","WR","Ankle","Questionable","Dallas Cowboys",19
"42","Noah Brown","WR","Illness","Not Listed","Dallas Cowboys",19
"52","Maliek Collins","DT","Illness/Ankle","Questionable","Dallas Cowboys",19
"62","Tyrone Crawford","DL","Neck","Not Listed","Dallas Cowboys",19
"72","Jeff Heath","S","Wrist","Not Listed","Dallas Cowboys",19
"82","David Irving","DL","Ankle","Out","Dallas Cowboys",19
"92","Blake Jarwin","TE","Ankle","Questionable","Dallas Cowboys",19
"102","Sean Lee","LB","Hamstring","Not Listed","Dallas Cowboys",19
"112","Zack Martin","G","Knee","Not Listed","Dallas Cowboys",19
"122","Dak Prescott","QB","Knee","Not Listed","Dallas Cowboys",19
"131","Tyron Smith","T","Neck","Not Listed","Dallas Cowboys",19
"141","Xavier Su'a-Filo","G","Ankle","Questionable","Dallas Cowboys",19
"15","Darian Thompson","S","Groin","Questionable","Dallas Cowboys",19
"23","Blake Countess","DB","Concussion","Not Listed","Los Angeles Rams",19
"33","Todd Gurley II","RB","Knee","Not Listed","Los Angeles Rams",19
"43","Lamarcus Joyner","S","Ankle","Not Listed","Los Angeles Rams",19
"53","Ethan Westbrooks","DL","Thigh","Questionable","Los Angeles Rams",19
"24","Jahleel Addae","S","Shoulder","Not Listed","Los Angeles Chargers",19
"34","Brandon Facyson","CB","Concussion","Questionable","Los Angeles Chargers",19
"44","Melvin Gordon III","RB","Knee","Not Listed","Los Angeles Chargers",19
"54","Hunter Henry","TE","Knee","Questionable","Los Angeles Chargers",19
"63","Mike Pouncey","C","Thumb","Not Listed","Los Angeles Chargers",19
"73","Sam Tevi","T","Groin","Not Listed","Los Angeles Chargers",19
"83","Derek Watt","FB","Shoulder","Questionable","Los Angeles Chargers",19
"93","Kyle Wilson","LB","Concussion","Questionable","Los Angeles Chargers",19
"25","Dwayne Allen","TE","Knee","Not Listed","New England Patriots",19
"35","Devin McCourty","DB","Concussion","Not Listed","New England Patriots",19
"45","Cordarrelle Patterson","WR","Knee","Not Listed","New England Patriots",19
"55","Deatrich Wise Jr.","DL","Ankle","Questionable","New England Patriots",19
"26","D.J. Alexander","LB","Hamstring","Questionable","Philadelphia Eagles",19
"36","Michael Bennett","DE","Foot","Questionable","Philadelphia Eagles",19
"46","Shelton Gibson","WR","Hamstring","Questionable","Philadelphia Eagles",19
"56","Alshon Jeffery","WR","Ribs","Not Listed","Philadelphia Eagles",19
"64","Sidney Jones","CB","Hamstring","Questionable","Philadelphia Eagles",19
"74","Jason Peters","T","Quadricep","Questionable","Philadelphia Eagles",19
"84","Golden Tate","WR","Knee","Not Listed","Philadelphia Eagles",19
"94","Mike Wallace","WR","Ankle","Questionable","Philadelphia Eagles",19
"103","Carson Wentz","QB","Back","Out","Philadelphia Eagles",19
"27","Terron Armstead","T","Pectoral","Not Listed","New Oleans Saints",19
"37","Chris Banjo","S","Knee","Not Listed","New Oleans Saints",19
"47","Jermon Bushrod","T","Hamstring","Not Listed","New Oleans Saints",19
"57","Simmie Cobbs","WR","Knee","Out","New Oleans Saints",19
"65","Ted Ginn Jr.","WR","Knee","Not Listed","New Oleans Saints",19
"75","Alex Okafor","DE","Knee","Not Listed","New Oleans Saints",19
"85","Andrus Peat","T","Hand","Not Listed","New Oleans Saints",19
"95","Ryan Ramczyk","T","Shoulder","Not Listed","New Oleans Saints",19
"104","Larry Warford","G","Knee","Not Listed","New Oleans Saints",19
