"","Player","Position","Injury","Game Status","Team","Week"
"2","Trent Brown","OL","Illness","Questionable","New England Patriots",10
"3","Joe Cardona","LS","Shoulder","Not Listed","New England Patriots",10
"4","Julian Edelman","WR","Ankle","Not Listed","New England Patriots",10
"5","Rob Gronkowski","TE","Ankle/Back","Questionable","New England Patriots",10
"6","Dont'a Hightower","LB","Knee","Questionable","New England Patriots",10
"7","Jacob Hollister","TE","Hamstring","Questionable","New England Patriots",10
"8","Shaq Mason","OL","Calf","Questionable","New England Patriots",10
"9","Sony Michel","RB","Knee","Questionable","New England Patriots",10
"10","Cordarrelle Patterson","WR","Neck","Not Listed","New England Patriots",10
"11","John Simon","DE","Shoulder","Not Listed","New England Patriots",10
"24","Kiko Alonso","MLB","Ankle","Questionable","Miami Dolphins",10
"31","Danny Amendola","WR","Not Injury Related","Not Listed","Miami Dolphins",10
"41","Stephone Anthony","OLB","Quadricep","Not Listed","Miami Dolphins",10
"51","Jesse Davis","OT","Elbow","Not Listed","Miami Dolphins",10
"61","A.J. Derby","TE","Foot","Questionable","Miami Dolphins",10
"71","Kenyan Drake","RB","Shoulder","Not Listed","Miami Dolphins",10
"81","Jakeem Grant","WR","Achilles","Questionable","Miami Dolphins",10
"91","Charles Harris","DE","Calf","Out","Miami Dolphins",10
"101","Xavien Howard","CB","Ankle","Not Listed","Miami Dolphins",10
"111","Ja'Wuan James","OT","Knee","Questionable","Miami Dolphins",10
"12","Reshad Jones","FS","Shoulder","Not Listed","Miami Dolphins",10
"13","Ted Larsen","C/G","Neck","Doubtful","Miami Dolphins",10
"14","T.J. McDonald","S","Knee","Not Listed","Miami Dolphins",10
"15","DeVante Parker","WR","Knee","Not Listed","Miami Dolphins",10
"16","Robert Quinn","DE","Ankle","Not Listed","Miami Dolphins",10
"17","Kenny Stills","WR","Groin","Not Listed","Miami Dolphins",10
"18","Travis Swanson","C","Elbow","Not Listed","Miami Dolphins",10
"19","Ryan Tannehill","QB","Shoulder (right)","Out","Miami Dolphins",10
"20","Laremy Tunsil","OT","Knee/Ankle","Questionable","Miami Dolphins",10
"21","Cameron Wake","DE","Not Injury Related","Not Listed","Miami Dolphins",10
"25","Lorenzo Alexander","LB","Rest","Not Listed","Buffalo Bills",10
"32","Josh Allen","QB","Right Elbow","Out","Buffalo Bills",10
"42","Derek Anderson","QB","Concussion","Out","Buffalo Bills",10
"52","Charles Clay","TE","Hamstring","Out","Buffalo Bills",10
"62","Tremaine Edmunds","LB","Concussion","Questionable","Buffalo Bills",10
"72","Chris Ivory","RB","Shoulder","Questionable","Buffalo Bills",10
"82","Trent Murphy","DE","Knee","Out","Buffalo Bills",10
"92","Kyle Williams","DT","Rest","Not Listed","Buffalo Bills",10
"26","Robby Anderson","WR","Ankle","Doubtful","New York Jets",10
"33","Tarell Basham","DE","Knee","Not Listed","New York Jets",10
"43","Kelvin Beachum","T","Knee/Ankle","Not Listed","New York Jets",10
"53","Terrence Brooks","S","Illness","Not Listed","New York Jets",10
"63","James Carpenter","G","Shoulder","Not Listed","New York Jets",10
"73","Morris Claiborne","CB","Shoulder","Not Listed","New York Jets",10
"83","Brandon Copeland","LB","Knee","Not Listed","New York Jets",10
"93","Isaiah Crowell","RB","Ankle","Not Listed","New York Jets",10
"102","Sam Darnold","QB","Foot","Doubtful","New York Jets",10
"112","Quincy Enunwa","WR","Ankle","Not Listed","New York Jets",10
"121","Jordan Jenkins","LB","Ankle","Not Listed","New York Jets",10
"131","Trumaine Johnson","CB","Quadriceps","Not Listed","New York Jets",10
"141","Spencer Long","C","Knee/Finger","Doubtful","New York Jets",10
"151","Frankie Luvu","LB","Neck","Not Listed","New York Jets",10
"161","Marcus Maye","S","Thumb","Not Listed","New York Jets",10
"171","Elijah McGuire","RB","Foot","Not Listed","New York Jets",10
