"","Player","Position","Injury","Game Status","Team","Week"
"2","Dwayne Allen","TE","Knee","Questionable","New England Patriots",17
"3","Jacob Hollister","TE","Hamstring","Out","New England Patriots",17
"4","Brandon King","LB","Knee","Questionable","New England Patriots",17
"5","Cordarrelle Patterson","WR","Knee","Questionable","New England Patriots",17
"6","LaAdrian Waddle","OL","Illness","Questionable","New England Patriots",17
"21","Walt Aikens","CB","Hand","Not Listed","Miami Dolphins",17
"31","Kiko Alonso","MLB","Knee/Hamstring","Questionable","Miami Dolphins",17
"41","Danny Amendola","WR","Knee","Not Listed","Miami Dolphins",17
"51","Cornell Armstrong","CB","Ankle","Not Listed","Miami Dolphins",17
"61","Andre Branch","DE","Knee","Questionable","Miami Dolphins",17
"7","Ziggy Hood","DT","Hamstring","Questionable","Miami Dolphins",17
"8","Xavien Howard","CB","Knee","Questionable","Miami Dolphins",17
"9","Mike Hull","OLB","Shoulder/Knee","Not Listed","Miami Dolphins",17
"10","Ja'Wuan James","OT","Achilles","Not Listed","Miami Dolphins",17
"11","Reshad Jones","FS","Shoulder","Not Listed","Miami Dolphins",17
"12","Bobby McCain","CB","Ankle","Not Listed","Miami Dolphins",17
"13","T.J. McDonald","S","Ankle","Doubtful","Miami Dolphins",17
"14","Ryan Tannehill","QB","Shoulder (right)/Ankle","Not Listed","Miami Dolphins",17
"15","Laremy Tunsil","OT","Knee","Not Listed","Miami Dolphins",17
"22","Chris Ivory","RB","Shoulder","Questionable","Buffalo Bills",17
"32","Ryan Lewis","CB","Concussion","Questionable","Buffalo Bills",17
"42","Julian Stanford","LB","Ankle","Out","Buffalo Bills",17
"52","Deonte Thompson","WR","Toe","Out","Buffalo Bills",17
"23","Robby Anderson","WR","Ankle","Not Listed","New York Jets",17
"33","Kelvin Beachum","T","Knee","Not Listed","New York Jets",17
"43","Deontay Burnett","WR","Hamstring","Not Listed","New York Jets",17
"53","Morris Claiborne","CB","Shoulder/Ankle","Out","New York Jets",17
"62","Sam Darnold","QB","Foot","Not Listed","New York Jets",17
"71","Quincy Enunwa","WR","Ankle","Out","New York Jets",17
"81","Jonotthan Harrison","OL","Wrist","Not Listed","New York Jets",17
"91","Jordan Jenkins","LB","Ankle","Questionable","New York Jets",17
