"","Player","Position","Injury","Game Status","Team","Week"
"2","Ja'Whaun Bentley","LB","Illness","Not Listed","New England Patriots",1
"3","Marcus Cannon","OL","Calf","Questionable","New England Patriots",1
"4","Duke Dawson Jr.","DB","Hamstring","Not Listed","New England Patriots",1
"5","Nate Ebner","DB","Knee","Questionable","New England Patriots",1
"6","Jacob Hollister","TE","Hamstring","Questionable","New England Patriots",1
"7","Sony Michel","RB","Knee","Questionable","New England Patriots",1
"21","Frank Gore","RB","Achilles/Not Injury Related","Not Listed","Miami Dolphins",1
"31","Jakeem Grant","WR","Shoulder","Not Listed","Miami Dolphins",1
"41","Ted Larsen","C/G","Knee","Not Listed","Miami Dolphins",1
"51","Brock Osweiler","QB","Knee","Not Listed","Miami Dolphins",1
"61","DeVante Parker","WR","Finger","Not Listed","Miami Dolphins",1
"71","Josh Sitton","G","Shoulder","Not Listed","Miami Dolphins",1
"22","Lorenzo Alexander","LB","Rest","Not Listed","Buffalo Bills",1
"32","Ray-Ray McCloud III","WR","Knee","Out","Buffalo Bills",1
"42","Julian Stanford","LB","Nose","Questionable","Buffalo Bills",1
"23","Jeremiah Attaochu","LB","Calf","Not Listed","New York Jets",1
"33","Kelvin Beachum","T","Foot","Not Listed","New York Jets",1
"43","Quincy Enunwa","WR","Thumb","Not Listed","New York Jets",1
"52","Neville Hewitt","LB","Knee","Not Listed","New York Jets",1
"62","Jermaine Kearse","WR","Abdomen","Doubtful","New York Jets",1
"72","Spencer Long","C","Knee","Not Listed","New York Jets",1
"8","Josh Martin","LB","Concussion","Out","New York Jets",1
"9","Marcus Maye","S","Foot","Doubtful","New York Jets",1
"10","Steve McLendon","DL","Knee","Not Listed","New York Jets",1
"11","Buster Skrine","CB","Hand","Not Listed","New York Jets",1
"12","Avery Williamson","LB","Hamstring","Not Listed","New York Jets",1
"13","Brian Winters","G","Back","Not Listed","New York Jets",1
"24","Dylan Cole","ILB","Wrist","Not Listed","Houston Texans",1
"34","Keke Coutee","WR","Hamstring","Questionable","Houston Texans",1
"44","Brandon Dunn","NT","Ankle","Not Listed","Houston Texans",1
"53","Zach Fulton","C/G","Hand","Not Listed","Houston Texans",1
"63","Andre Hal","S","Ankle","Not Listed","Houston Texans",1
"73","DeAndre Hopkins","WR","Ankle","Not Listed","Houston Texans",1
"81","Buddy Howell","RB","Hamstring","Questionable","Houston Texans",1
"91","Johnathan Joseph","CB","Neck","Not Listed","Houston Texans",1
"101","Senio Kelemete","G","Knee/Rib","Not Listed","Houston Texans",1
"111","Benardrick McKinney","ILB","Heel","Not Listed","Houston Texans",1
"121","Justin Reid","S","Wrist","Not Listed","Houston Texans",1
"131","J.J. Watt","DE","Elbow/Knee","Not Listed","Houston Texans",1
