"","Player","Position","Injury","Game Status","Team","Week"
"2","Dwayne Allen","TE","Knee","Out","New England Patriots",13
"3","Tom Brady","QB","Knee","Not Listed","New England Patriots",13
"4","Nate Ebner","DB","Knee","Not Listed","New England Patriots",13
"5","Julian Edelman","WR","Foot","Not Listed","New England Patriots",13
"6","Trey Flowers","DL","Not Injury Related","Not Listed","New England Patriots",13
"7","Rob Gronkowski","TE","Ankle/Back","Not Listed","New England Patriots",13
"21","Danny Amendola","WR","Knee","Doubtful","Miami Dolphins",13
"31","Cornell Armstrong","CB","Knee","Not Listed","Miami Dolphins",13
"41","Andre Branch","DE","Shoulder/Hamstring","Not Listed","Miami Dolphins",13
"51","A.J. Derby","TE","Foot/Knee","Questionable","Miami Dolphins",13
"61","Kenyan Drake","RB","Shoulder","Not Listed","Miami Dolphins",13
"71","Frank Gore","RB","Not Injury Related","Not Listed","Miami Dolphins",13
"8","Xavien Howard","CB","Ankle","Not Listed","Miami Dolphins",13
"9","Ja'Wuan James","OT","Knee","Not Listed","Miami Dolphins",13
"10","Reshad Jones","FS","Shoulder","Not Listed","Miami Dolphins",13
"11","Ted Larsen","C/G","Neck","Not Listed","Miami Dolphins",13
"12","Bobby McCain","CB","Knee","Not Listed","Miami Dolphins",13
"13","T.J. McDonald","S","Knee","Not Listed","Miami Dolphins",13
"14","DeVante Parker","WR","Shoulder","Questionable","Miami Dolphins",13
"15","Travis Swanson","C","Ankle","Doubtful","Miami Dolphins",13
"16","Ryan Tannehill","QB","Shoulder (right)","Not Listed","Miami Dolphins",13
"17","Laremy Tunsil","OT","Knee","Not Listed","Miami Dolphins",13
"22","Lorenzo Alexander","LB","Rest","Not Listed","Buffalo Bills",13
"32","Derek Anderson","QB","Concussion","Out","Buffalo Bills",13
"42","Charles Clay","TE","Hamstring","Questionable","Buffalo Bills",13
"52","Taron Johnson","CB","Shoulder","Not Listed","Buffalo Bills",13
"62","John Miller","G","Oblique","Out","Buffalo Bills",13
"72","Lafayette Pitts","CB","Concussion","Not Listed","Buffalo Bills",13
"81","Logan Thomas","TE","Not Injury Related","Not Listed","Buffalo Bills",13
"91","Kyle Williams","DT","Rest","Not Listed","Buffalo Bills",13
"23","Robby Anderson","WR","Ankle","Questionable","New York Jets",13
"33","Kelvin Beachum","T","Knee","Not Listed","New York Jets",13
"43","Trenton Cannon","RB","Hamstring","Not Listed","New York Jets",13
"53","Morris Claiborne","CB","Shoulder","Not Listed","New York Jets",13
"63","Sam Darnold","QB","Foot","Questionable","New York Jets",13
"73","Quincy Enunwa","WR","Ankle","Not Listed","New York Jets",13
"82","Jordan Jenkins","LB","Shoulder","Not Listed","New York Jets",13
"92","Spencer Long","C","Knee/Finger","Not Listed","New York Jets",13
"101","Marcus Maye","S","Shoulder/Thumb","Out","New York Jets",13
"111","Josh McCown","QB","Rt. Hand/Back","Not Listed","New York Jets",13
"121","Steve McLendon","DL","Ankle","Not Listed","New York Jets",13
"131","Andre Roberts","WR","Foot","Not Listed","New York Jets",13
"141","Eric Tomlinson","TE","Elbow","Not Listed","New York Jets",13
"24","Alfred Blue","RB","Thigh","Not Listed","Houston Texans",13
"34","Dylan Cole","ILB","Wrist/Knee","Not Listed","Houston Texans",13
"44","Aaron Colvin","CB","Ankle","Not Listed","Houston Texans",13
"54","Keke Coutee","WR","Hamstring","Questionable","Houston Texans",13
"64","Zach Cunningham","ILB","Knee","Not Listed","Houston Texans",13
"74","Duke Ejiofor","OLB","Shoulder","Not Listed","Houston Texans",13
"83","Zach Fulton","C/G","Shoulder","Not Listed","Houston Texans",13
"93","DeAndre Hopkins","WR","Foot","Not Listed","Houston Texans",13
"102","Kareem Jackson","CB/S","Groin","Not Listed","Houston Texans",13
"112","Johnathan Joseph","CB","Ankle/Knee","Not Listed","Houston Texans",13
"122","Senio Kelemete","G","Ankle","Not Listed","Houston Texans",13
"132","Whitney Mercilus","OLB","Ankle","Not Listed","Houston Texans",13
"142","Brian Peters","ILB","Ankle","Not Listed","Houston Texans",13
"151","Justin Reid","S","Knee","Not Listed","Houston Texans",13
