"","Player","Position","Injury","Game Status","Team","Week"
"2","Trent Brown","OL","Ankle","Questionable","New England Patriots",8
"3","Marcus Cannon","OL","Concussion","Out","New England Patriots",8
"4","Josh Gordon","WR","Hamstring","Questionable","New England Patriots",8
"5","Rob Gronkowski","TE","Ankle/Back","Questionable","New England Patriots",8
"6","Dont'a Hightower","LB","Knee","Questionable","New England Patriots",8
"7","Jacob Hollister","TE","Hamstring","Questionable","New England Patriots",8
"8","Sony Michel","RB","Knee","Out","New England Patriots",8
"9","Eric Rowe","DB","Groin","Out","New England Patriots",8
"10","Brian Schwenke","OL","Foot","Out","New England Patriots",8
"11","John Simon","DE","Shoulder","Questionable","New England Patriots",8
"12","Deatrich Wise Jr.","DL","Ankle/Knee","Questionable","New England Patriots",8
"21","Danny Amendola","WR","Shoulder","Not Listed","Miami Dolphins",8
"31","Stephone Anthony","OLB","Quadricep","Not Listed","Miami Dolphins",8
"41","Jerome Baker","LB","Knee","Not Listed","Miami Dolphins",8
"51","Jesse Davis","OT","Elbow","Not Listed","Miami Dolphins",8
"61","A.J. Derby","TE","Foot","Questionable","Miami Dolphins",8
"71","Kenyan Drake","RB","Shoulder","Not Listed","Miami Dolphins",8
"81","Mike Gesicki","TE","Shoulder","Questionable","Miami Dolphins",8
"91","Jakeem Grant","WR","Achilles","Not Listed","Miami Dolphins",8
"101","Charles Harris","DE","Calf","Out","Miami Dolphins",8
"111","Reshad Jones","FS","Shoulder","Not Listed","Miami Dolphins",8
"121","Bobby McCain","CB","Knee","Not Listed","Miami Dolphins",8
"13","T.J. McDonald","S","Ankle/Knee","Not Listed","Miami Dolphins",8
"14","Brock Osweiler","QB","Back","Not Listed","Miami Dolphins",8
"15","Kenny Stills","WR","Groin","Out","Miami Dolphins",8
"16","Ryan Tannehill","QB","Shoulder","Out","Miami Dolphins",8
"17","Vincent Taylor","DT","Foot","Not Listed","Miami Dolphins",8
"18","Cameron Wake","DE","Knee","Not Listed","Miami Dolphins",8
"22","Lorenzo Alexander","LB","Rest","Not Listed","Buffalo Bills",8
"32","Josh Allen","QB","Right Elbow","Out","Buffalo Bills",8
"42","Derek Anderson","QB","Back/Calf","Not Listed","Buffalo Bills",8
"52","Chris Ivory","RB","Hamstring","Not Listed","Buffalo Bills",8
"62","Taiwan Jones","RB","Neck","Out","Buffalo Bills",8
"72","LeSean McCoy","RB","Concussion","Questionable","Buffalo Bills",8
"82","Jordan Mills","T","Knee","Not Listed","Buffalo Bills",8
"92","Trent Murphy","DE","Knee","Out","Buffalo Bills",8
"102","Kyle Williams","DT","Rest","Not Listed","Buffalo Bills",8
"23","Robby Anderson","WR","Ankle","Doubtful","New York Jets",8
"33","Kelvin Beachum","T","Back","Questionable","New York Jets",8
