"","Player","Position","Injury","Game Status","Team","Week"
"2","Dwayne Allen","TE","Knee","Not Listed","New England Patriots",15
"3","Stephon Gilmore","CB","Ankle","Not Listed","New England Patriots",15
"4","Elandon Roberts","LB","Thigh","Questionable","New England Patriots",15
"21","Danny Amendola","WR","Knee","Not Listed","Miami Dolphins",15
"31","Cornell Armstrong","CB","Ankle","Not Listed","Miami Dolphins",15
"41","John Denney","LS","Finger","Not Listed","Miami Dolphins",15
"5","Kenyan Drake","RB","Shoulder","Not Listed","Miami Dolphins",15
"6","Frank Gore","RB","Not Injury Related","Not Listed","Miami Dolphins",15
"7","Xavien Howard","CB","Knee","Doubtful","Miami Dolphins",15
"8","Ja'Wuan James","OT","Quadriceps","Not Listed","Miami Dolphins",15
"9","Reshad Jones","FS","Shoulder","Not Listed","Miami Dolphins",15
"10","T.J. McDonald","S","Ankle","Questionable","Miami Dolphins",15
"11","DeVante Parker","WR","Shoulder","Not Listed","Miami Dolphins",15
"12","Travis Swanson","C","Ankle","Not Listed","Miami Dolphins",15
"13","Ryan Tannehill","QB","Shoulder (right)/ankle","Not Listed","Miami Dolphins",15
"14","Laremy Tunsil","OT","Knee","Not Listed","Miami Dolphins",15
"22","Derek Anderson","QB","Concussion","Not Listed","Buffalo Bills",15
"32","Jason Croom","TE","Groin","Not Listed","Buffalo Bills",15
"42","Stephen Hauschka","K","Right Hip","Questionable","Buffalo Bills",15
"51","Chris Ivory","RB","Shoulder","Questionable","Buffalo Bills",15
"61","Ryan Lewis","CB","Concussion","Out","Buffalo Bills",15
"71","LeSean McCoy","RB","Hamstring","Questionable","Buffalo Bills",15
"81","Logan Thomas","TE","Hamstring","Questionable","Buffalo Bills",15
"23","Robby Anderson","WR","Ankle","Not Listed","New York Jets",15
"33","Jeremiah Attaochu","LB","Concussion","Out","New York Jets",15
"43","Kelvin Beachum","T","Knee","Not Listed","New York Jets",15
"52","Trenton Cannon","RB","Toe","Questionable","New York Jets",15
"62","Morris Claiborne","CB","Shoulder/Neck","Not Listed","New York Jets",15
"72","Isaiah Crowell","RB","Toe","Out","New York Jets",15
"82","Sam Darnold","QB","Foot","Not Listed","New York Jets",15
"91","Quincy Enunwa","WR","Ankle","Out","New York Jets",15
"101","Chris Herndon","TE","Non-Injury","Not Listed","New York Jets",15
"111","Jordan Jenkins","LB","Shoulder/Ankle","Questionable","New York Jets",15
"121","Trumaine Johnson","CB","Foot","Questionable","New York Jets",15
"131","Jordan Leggett","TE","Knee","Not Listed","New York Jets",15
"141","Spencer Long","C","Knee/Finger","Not Listed","New York Jets",15
"15","Elijah McGuire","RB","Ankle","Not Listed","New York Jets",15
"16","Kevin Pierre-Louis","LB","Shoulder","Questionable","New York Jets",15
"17","Andre Roberts","WR","Foot","Not Listed","New York Jets",15
"18","Buster Skrine","CB","Shoulder","Not Listed","New York Jets",15
