"","Player","Position","Injury","Game Status","Team","Week"
"1462","C.J. Ham","FB","Elbow","Out","Minnesota Vikings",6
"1463","Linval Joseph","DT","Knee","Not Listed","Minnesota Vikings",6
"1464","Eric Kendricks","LB","Hamstring","Out","Minnesota Vikings",6
"1465","David Morgan","TE","Knee","Not Listed","Minnesota Vikings",6
"1466","Mike Remmers","G","Low Back","Not Listed","Minnesota Vikings",6
"1467","Xavier Rhodes","CB","Groin","Questionable","Minnesota Vikings",6
"1468","Marcus Sherels","CB","Foot","Out","Minnesota Vikings",6
"1469","Davante Adams","WR","Knee","Questionable","Green Bay Packers",6
"1470","Jaire Alexander","CB","Groin","Questionable","Green Bay Packers",6
"1471","David Bakhtiari","T","Hip","Questionable","Green Bay Packers",6
"1472","Kentrell Brice","S","Ankle","Questionable","Green Bay Packers",6
"1473","Fadol Brown","DL","Toe","Questionable","Green Bay Packers",6
"1474","Bryan Bulaga","T","Knee","Not Listed","Green Bay Packers",6
"1475","Randall Cobb","WR","Concussion","Not Listed","Green Bay Packers",6
"1476","Jimmy Graham","TE","Knee / Thumb","Not Listed","Green Bay Packers",6
"1477","Jake Kumerow","WR","Hand","Not Listed","Green Bay Packers",6
"1478","Clay Matthews","LB","Back","Not Listed","Green Bay Packers",6
"1479","Lucas Patrick","G","Abdomen","Questionable","Green Bay Packers",6
"1480","Aaron Rodgers","QB","Knee / Groin","Not Listed","Green Bay Packers",6
"1481","Jason Spriggs","T","Concussion","Doubtful","Green Bay Packers",6
"1482","Equanimeous St. Brown","WR","Concussion","Doubtful","Green Bay Packers",6
"1483","Lane Taylor","G","Knee","Questionable","Green Bay Packers",6
"1484","Doug Baldwin","WR","Knee","Not Listed","Seattle Seahawks",6
"1485","Duane Brown","T","Knee","Not Listed","Seattle Seahawks",6
"1486","Chris Carson","RB","NIR","Not Listed","Seattle Seahawks",6
"1487","Mike Davis","RB","Foot","Not Listed","Seattle Seahawks",6
"1488","D.J. Fluker","G/T","Hamstring","Not Listed","Seattle Seahawks",6
"1489","Shaquill Griffin","CB","Ankle","Not Listed","Seattle Seahawks",6
"1490","Dion Jordan","DE","Knee","Not Listed","Seattle Seahawks",6
"1491","Tre Madden","FB","Hamstring","Doubtful","Seattle Seahawks",6
"1492","Bradley McDougald","FS","Knee","Not Listed","Seattle Seahawks",6
"1493","J.R. Sweezy","G","Foot","Questionable","Seattle Seahawks",6
"1494","Tedric Thompson","FS","Ankle","Not Listed","Seattle Seahawks",6
"1495","Arik Armstead","DL","Hand","Not Listed","San Francisco 49ers",6
"1496","Matt Breida","RB","Ankle","Out","San Francisco 49ers",6
"1497","Garrett Celek","TE","Concussion","Out","San Francisco 49ers",6
"1498","Marquise Goodwin","WR","Calf","Out","San Francisco 49ers",6
"1499","Erik Magnuson","OL","Hamstring","Not Listed","San Francisco 49ers",6
"1500","Tarvarius Moore","DB","Shoulder","Questionable","San Francisco 49ers",6
"1501","Mark Nzeocha","LB","Groin","Not Listed","San Francisco 49ers",6
"1502","Mike Person","OL","Illness","Not Listed","San Francisco 49ers",6
"1503","Dante Pettis","WR","Knee","Out","San Francisco 49ers",6
"1504","Weston Richburg","C","Knee","Not Listed","San Francisco 49ers",6
"1505","Malcolm Smith","LB","Achilles","Not Listed","San Francisco 49ers",6
