"","Player","Position","Injury","Game Status","Team","Week"
"2","Aaron Colvin","CB","Ankle","Questionable","Houston Texans",11
"3","Keke Coutee","WR","Hamstring","Questionable","Houston Texans",11
"4","Zach Cunningham","ILB","Knee","Questionable","Houston Texans",11
"5","Duke Ejiofor","OLB","Shoulder","Questionable","Houston Texans",11
"6","Andre Hal","S","Shoulder","Not Listed","Houston Texans",11
"7","DeAndre Hopkins","WR","Foot","Not Listed","Houston Texans",11
"8","Johnathan Joseph","CB","Ankle/Knee","Questionable","Houston Texans",11
"9","Whitney Mercilus","OLB","Ankle","Not Listed","Houston Texans",11
"10","Brian Peters","ILB","Ankle","Not Listed","Houston Texans",11
"21","Le'Raven Clark","G/T","Not Injury Related","Not Listed","Indianapolis Colts",11
"31","Clayton Geathers","S","Knee","Not Listed","Indianapolis Colts",11
"41","Nate Hairston","CB","Ankle","Questionable","Indianapolis Colts",11
"51","Ryan Hewitt","TE","Ankle","Out","Indianapolis Colts",11
"61","Malik Hooker","S","Hip/Illness","Out","Indianapolis Colts",11
"71","Ryan Kelly","C","Knee","Not Listed","Indianapolis Colts",11
"81","D.J. Killings","CB","Ankle","Out","Indianapolis Colts",11
"91","Darius Leonard","LB","Hamstring","Not Listed","Indianapolis Colts",11
"101","Marlon Mack","RB","Not Injury Related","Not Listed","Indianapolis Colts",11
"11","Chris Milton","CB","Not Injury Related","Not Listed","Indianapolis Colts",11
"12","Mike Mitchell","S","Calf","Not Listed","Indianapolis Colts",11
"13","Quenton Nelson","C/G","Back","Not Listed","Indianapolis Colts",11
"14","Erik Swoope","TE","Knee","Out","Indianapolis Colts",11
"15","Kemoko Turay","DE","Neck","Not Listed","Indianapolis Colts",11
"16","Anthony Walker","LB","Neck","Not Listed","Indianapolis Colts",11
"22","Jack Conklin","OT","Concussion","Not Listed","Tennessee Titans",11
"32","Dane Cruikshank","DB","Knee","Not Listed","Tennessee Titans",11
"42","David Fluellen","RB","Knee","Out","Tennessee Titans",11
"52","Corey Levin","G","Illness","Not Listed","Tennessee Titans",11
"62","Derrick Morgan","LB","Shoulder","Not Listed","Tennessee Titans",11
"72","Tajae Sharpe","WR","Ankle","Questionable","Tennessee Titans",11
"82","Quinton Spain","G","Ankle","Questionable","Tennessee Titans",11
"92","Taywan Taylor","WR","Foot","Out","Tennessee Titans",11
"23","Eli Ankou","DT","Calf","Doubtful","Jacksonville Jaguars",11
"33","A.J. Bouye","CB","Calf","Not Listed","Jacksonville Jaguars",11
"43","A.J. Cann","OL","Hamstring","Questionable","Jacksonville Jaguars",11
"53","Marcell Dareus","DT","Triceps / Back","Questionable","Jacksonville Jaguars",11
"63","Ereck Flowers","OT","Knee","Not Listed","Jacksonville Jaguars",11
"73","Tashaun Gipson Sr.","S","Wrist","Not Listed","Jacksonville Jaguars",11
"83","Lerentee McCray","DE","Hamstring","Not Listed","Jacksonville Jaguars",11
"93","Quenton Meeks","CB","Knee","Out","Jacksonville Jaguars",11
"102","Telvin Smith Sr.","LB","Shoulder","Not Listed","Jacksonville Jaguars",11
"111","Josh Walker","OL","Foot / Ankle","Doubtful","Jacksonville Jaguars",11
"24","James Conner","RB","Concussion","Not Listed","Pittsburgh Steelers",11
"34","Ramon Foster","G","Coaches Decision","Not Listed","Pittsburgh Steelers",11
"44","Marcus Gilbert","OT","Knee","Out","Pittsburgh Steelers",11
"54","Ben Roethlisberger","QB","Coaches Decision","Not Listed","Pittsburgh Steelers",11
"64","Stephon Tuitt","DE","Elbow","Out","Pittsburgh Steelers",11
"25","Joe Flacco","QB","Right Hip","Doubtful","Baltimore Ravens",11
"35","James Hurst","G/T","Back","Out","Baltimore Ravens",11
"45","Lamar Jackson","QB","Illness","Not Listed","Baltimore Ravens",11
"55","Tony Jefferson","S","Thigh","Questionable","Baltimore Ravens",11
"65","Anthony Levine Sr.","DB/LB","Ankle","Not Listed","Baltimore Ravens",11
"74","Jimmy Smith","CB","NIR","Not Listed","Baltimore Ravens",11
"84","Ronnie Stanley","T","Ankle","Questionable","Baltimore Ravens",11
"94","Terrell Suggs","OLB","NIR","Not Listed","Baltimore Ravens",11
"103","Tavon Young","CB","Ankle","Questionable","Baltimore Ravens",11
"112","Tim Williams","OLB","Ankle","Out","Baltimore Ravens",11
"26","Preston Brown","LB","Knee","Out","Cincinnati Bengals",11
"36","Vontaze Burfict","LB","Hip","Questionable","Cincinnati Bengals",11
"46","Darqueze Dennard","CB","Sternoclavicular","Not Listed","Cincinnati Bengals",11
"56","Jake Fisher","OT","NI","Not Listed","Cincinnati Bengals",11
"66","A.J. Green","WR","Toe","Doubtful","Cincinnati Bengals",11
"75","Dre Kirkpatrick","CB","Concussion","Not Listed","Cincinnati Bengals",11
"85","Tyler Kroft","TE","Foot","Out","Cincinnati Bengals",11
"95","Josh Malone","WR","Hamstring","Out","Cincinnati Bengals",11
"104","Joe Mixon","HB","Knee","Not Listed","Cincinnati Bengals",11
"113","Alex Redmond","G","Hamstring","Not Listed","Cincinnati Bengals",11
"121","Vincent Rey","LB","Groin","Not Listed","Cincinnati Bengals",11
"131","John Ross","WR","Groin","Questionable","Cincinnati Bengals",11
"141","Nick Vigil","LB","Knee","Out","Cincinnati Bengals",11
"151","Adolphus Washington","DT","Knee","Out","Cincinnati Bengals",11
"27","Keenan Allen","WR","Hip/Finger","Not Listed","Los Angeles Chargers",11
"37","Joey Bosa","DE","Foot","Questionable","Los Angeles Chargers",11
"47","Geremy Davis","WR","Hamstring","Not Listed","Los Angeles Chargers",11
"57","Kyle Emanuel","OLB","Hip","Not Listed","Los Angeles Chargers",11
"67","Antonio Gates","TE","Knee","Questionable","Los Angeles Chargers",11
"76","Chris Landrum","DE","Hip","Not Listed","Los Angeles Chargers",11
"86","Darius Philon","DE","Ankle","Not Listed","Los Angeles Chargers",11
"96","Mike Williams","WR","Groin","Not Listed","Los Angeles Chargers",11
"105","Trevor Williams","CB","Knee","Out","Los Angeles Chargers",11
"28","Royce Freeman","RB","Ankle","Not Listed","Denver Broncos",11
"38","Max Garcia","G","Knee","Out","Denver Broncos",11
"48","DaeSean Hamilton","WR","Knee","Not Listed","Denver Broncos",11
