"","Player","Position","Injury","Game Status","Team","Week"
"2","Rob Gronkowski","TE","Ankle/Back","Not Listed","New England Patriots",16
"3","Brandon King","LB","Knee","Questionable","New England Patriots",16
"4","Cordarrelle Patterson","WR","Illness","Not Listed","New England Patriots",16
"21","Kiko Alonso","MLB","Knee/Hamstring","Questionable","Miami Dolphins",16
"31","Danny Amendola","WR","Knee","Not Listed","Miami Dolphins",16
"41","Cornell Armstrong","CB","Ankle","Not Listed","Miami Dolphins",16
"5","Kalen Ballage","RB","Hip","Not Listed","Miami Dolphins",16
"6","John Denney","LS","Finger/Hamstring","Not Listed","Miami Dolphins",16
"7","Kenyan Drake","RB","Shoulder","Not Listed","Miami Dolphins",16
"8","Ziggy Hood","DT","Hamstring","Questionable","Miami Dolphins",16
"9","Xavien Howard","CB","Knee","Questionable","Miami Dolphins",16
"10","Ja'Wuan James","OT","Shoulder","Not Listed","Miami Dolphins",16
"11","Reshad Jones","FS","Shoulder","Not Listed","Miami Dolphins",16
"12","T.J. McDonald","S","Ankle","Doubtful","Miami Dolphins",16
"13","Kendrick Norton","DT","Ankle","Questionable","Miami Dolphins",16
"14","DeVante Parker","WR","Shoulder","Not Listed","Miami Dolphins",16
"15","Travis Swanson","C","Ankle","Not Listed","Miami Dolphins",16
"16","Ryan Tannehill","QB","Shoulder (Right)/Ankle","Not Listed","Miami Dolphins",16
"17","Laremy Tunsil","OT","Knee","Not Listed","Miami Dolphins",16
"22","Patrick DiMarco","FB","Ankle","Not Listed","Buffalo Bills",16
"32","Stephen Hauschka","K","Right Hip","Not Listed","Buffalo Bills",16
"42","Chris Ivory","RB","Shoulder","Questionable","Buffalo Bills",16
"51","Ryan Lewis","CB","Concussion","Out","Buffalo Bills",16
"61","LeSean McCoy","RB","Hamstring","Not Listed","Buffalo Bills",16
"71","Isaiah McKenzie","WR","Ankle","Not Listed","Buffalo Bills",16
"81","Trent Murphy","DE","Chest","Not Listed","Buffalo Bills",16
"91","Logan Thomas","TE","Hamstring","Not Listed","Buffalo Bills",16
"101","Corey Thompson","LB","Ankle","Not Listed","Buffalo Bills",16
"111","Deonte Thompson","WR","Achilles","Not Listed","Buffalo Bills",16
"121","Kyle Williams","DT","Back","Not Listed","Buffalo Bills",16
"23","Robby Anderson","WR","Ankle/Back","Not Listed","New York Jets",16
"33","Kelvin Beachum","T","Knee","Not Listed","New York Jets",16
"43","Trenton Cannon","RB","Toe","Not Listed","New York Jets",16
"52","Morris Claiborne","CB","Shoulder","Not Listed","New York Jets",16
"62","Sam Darnold","QB","Foot","Not Listed","New York Jets",16
"72","Quincy Enunwa","WR","Ankle","Out","New York Jets",16
"82","Jonotthan Harrison","OL","Wrist","Not Listed","New York Jets",16
"92","Jordan Jenkins","LB","Ankle","Questionable","New York Jets",16
"102","Jermaine Kearse","WR","Calf","Not Listed","New York Jets",16
"112","Jordan Leggett","TE","Knee","Not Listed","New York Jets",16
"122","Spencer Long","C","Toe/Knee/Finger","Not Listed","New York Jets",16
"131","Elijah McGuire","RB","Ankle/Quad","Not Listed","New York Jets",16
"141","Kevin Pierre-Louis","LB","Shoulder","Doubtful","New York Jets",16
"151","Darryl Roberts","CB","Toe","Questionable","New York Jets",16
"161","Buster Skrine","CB","Shoulder","Not Listed","New York Jets",16
"171","Eric Tomlinson","TE","Achilles","Not Listed","New York Jets",16
"18","Leonard Williams","DL","Elbow","Not Listed","New York Jets",16
"19","Brian Winters","G","Finger","Not Listed","New York Jets",16
"24","Dylan Cole","ILB","Wrist/Knee","Not Listed","Houston Texans",16
"34","Keke Coutee","WR","Hamstring","Questionable","Houston Texans",16
"44","Brandon Dunn","NT","Ankle","Questionable","Houston Texans",16
"53","Zach Fulton","C/G","Hand","Not Listed","Houston Texans",16
"63","Andre Hal","S","Ankle","Not Listed","Houston Texans",16
"73","DeAndre Hopkins","WR","Ankle","Questionable","Houston Texans",16
"83","Kareem Jackson","CB/S","Knee","Not Listed","Houston Texans",16
"93","Johnathan Joseph","CB","Hip/Illness","Questionable","Houston Texans",16
"103","Senio Kelemete","G","Elbow/Rib/Illness","Questionable","Houston Texans",16
"113","Greg Mancz","C/G","Knee","Not Listed","Houston Texans",16
"123","Lamar Miller","RB","Ankle","Questionable","Houston Texans",16
"132","Brian Peters","ILB","Ankle","Not Listed","Houston Texans",16
"142","Justin Reid","S","Shoulder/Wrist","Not Listed","Houston Texans",16
"152","Mike Tyson","S","Concussion","Out","Houston Texans",16
"162","J.J. Watt","DE","Knee","Not Listed","Houston Texans",16
"172","Brandon Weeden","QB","Illness","Not Listed","Houston Texans",16
"25","Anthony Castonzo","T","Knee","Not Listed","Indianapolis Colts",16
"35","Eric Ebron","TE","Quad","Not Listed","Indianapolis Colts",16
"45","Clayton Geathers","S","Knee","Out","Indianapolis Colts",16
"54","Mark Glowinski","G","Ankle","Questionable","Indianapolis Colts",16
"64","T.Y. Hilton","WR","Ankle","Questionable","Indianapolis Colts",16
"74","Malik Hooker","S","Hip","Not Listed","Indianapolis Colts",16
"84","Margus Hunt","DT","Foot","Not Listed","Indianapolis Colts",16
"94","Dontrelle Inman","WR","Shoulder","Not Listed","Indianapolis Colts",16
"104","Darius Leonard","LB","Shoulder","Not Listed","Indianapolis Colts",16
"114","Mike Mitchell","S","Calf","Questionable","Indianapolis Colts",16
"124","Kenny Moore II","CB","Shin","Not Listed","Indianapolis Colts",16
"133","George Odum","S","Knee","Questionable","Indianapolis Colts",16
"143","Zach Pascal","WR","Knee","Not Listed","Indianapolis Colts",16
"153","Jabaal Sheard","DE","Ribs","Not Listed","Indianapolis Colts",16
"163","Anthony Walker","LB","Shoulder","Out","Indianapolis Colts",16
"173","Quincy Wilson","CB","Elbow","Not Listed","Indianapolis Colts",16
"26","Jurrell Casey","DT","Knee","Not Listed","Tennessee Titans",16
"36","Sharif Finch","OLB","Shoulder","Out","Tennessee Titans",16
"46","David Fluellen","RB","Knee","Out","Tennessee Titans",16
"55","Josh Kline","G","Knee","Not Listed","Tennessee Titans",16
"65","Marcus Mariota","QB","Foot","Not Listed","Tennessee Titans",16
"75","Brian Orakpo","OLB","Elbow","Out","Tennessee Titans",16
"85","Tajae Sharpe","WR","Ankle","Questionable","Tennessee Titans",16
"95","Brynden Trawick","S","Illness","Not Listed","Tennessee Titans",16
"105","Kenny Vaccaro","SS","Concussion","Not Listed","Tennessee Titans",16
"115","Cole Wick","TE","Shoulder","Out","Tennessee Titans",16
"125","Wesley Woodyard","ILB","Back","Not Listed","Tennessee Titans",16
"27","DJ Chark Jr.","WR","Quad","Out","Jacksonville Jaguars",16
"37","Leonard Fournette","RB","Foot","Not Listed","Jacksonville Jaguars",16
"47","Ronnie Harrison","S","Knee","Out","Jacksonville Jaguars",16
"56","Josh Lambo","K","Groin","Out","Jacksonville Jaguars",16
"66","Jermey Parnell","OL","Knee","Out","Jacksonville Jaguars",16
"76","Jarrod Wilson","S","Foot / Personal","Not Listed","Jacksonville Jaguars",16
"28","James Conner","RB","Knee","Out","Pittsburgh Steelers",16
"38","Bud Dupree","LB","Knee","Not Listed","Pittsburgh Steelers",16
"48","Terrell Edmunds","S","Concussion","Not Listed","Pittsburgh Steelers",16
"57","Cameron Heyward","DT","Knee","Not Listed","Pittsburgh Steelers",16
"67","Maurkice Pouncey","C","Coach's Decision","Not Listed","Pittsburgh Steelers",16
"77","Ben Roethlisberger","QB","Coach's Decision","Not Listed","Pittsburgh Steelers",16
"86","JuJu Smith-Schuster","WR","Groin","Questionable","Pittsburgh Steelers",16
"29","Nick Boyle","TE","Concussion","Questionable","Baltimore Ravens",16
"39","Matthew Judon","OLB","Knee","Questionable","Baltimore Ravens",16
