"","name","injury","week","team","year"
"1","['Reid Fragel']","Out: Concussion","week_7","Tampa Bay Buccaneers",2015
"2","['Reid Fragel']","Out: Concussion","week_8","Tampa Bay Buccaneers",2015
"3","['Bradley McDougald']","Questionable: Concussion","week_10","Tampa Bay Buccaneers",2015
"4","['Keith Tandy']","Out: Concussion","week_12","Tampa Bay Buccaneers",2015
"5","['Bruce Carter']","Doubtful: Concussion","week_13","Tampa Bay Buccaneers",2015
"6","['Keith Tandy']","Probable: Concussion","week_13","Tampa Bay Buccaneers",2015
"7","['Bruce Carter']","Probable: Concussion","week_14","Tampa Bay Buccaneers",2015
"8","['William Gholston']","Probable: Concussion","week_14","Tampa Bay Buccaneers",2015
