week,concussions,year
1,11,2017
2,24,2017
3,20,2017
4,19,2017
5,18,2017
6,15,2017
7,20,2017
8,25,2017
9,18,2017
10,19,2017
11,20,2017
12,25,2017
13,29,2017
14,32,2017
15,36,2017
16,36,2017
17,39,2017
18,9,2017
19,4,2017
20,3,2017
21,1,2017
1,5,2018
2,14,2018
3,18,2018
4,13,2018
5,13,2018
6,13,2018
7,19,2018
8,15,2018
9,13,2018
10,15,2018
11,13,2018
12,22,2018
13,15,2018
14,20,2018
15,27,2018
16,26,2018
17,28,2018
18,6,2018
19,4,2018
20,0,2018
21,0,2018
