"","name","injury","week","team","year"
"1","['Rex Burkhead']","Questionable: Concussion","week_2","New England Patriots",2018
"2","['Patrick Chung']","Doubtful: Concussion","week_3","New England Patriots",2018
"3","['Trey Flowers']","Doubtful: Concussion","week_3","New England Patriots",2018
"4","['Patrick Chung']","Questionable: Concussion","week_4","New England Patriots",2018
"5","['Trey Flowers']","Questionable: Concussion","week_4","New England Patriots",2018
"6","['Marcus Cannon']","Out: Concussion","week_7","New England Patriots",2018
"7","['Marcus Cannon']","Questionable: Concussion","week_8","New England Patriots",2018
"8","['Marcus Cannon']","Questionable: Concussion","week_9","New England Patriots",2018
"9","['Laremy Tunsil']","Questionable: Concussion","week_6","Miami Dolphins",2018
"10","['Jonathan Woodard']","Out: Concussion","week_7","Miami Dolphins",2018
"11","['LeSean McCoy']","Questionable: Concussion","week_8","Buffalo Bills",2018
"12","['Derek Anderson']","Questionable: Concussion","week_9","Buffalo Bills",2018
"13","['Derek Anderson']","Out: Concussion","week_10","Buffalo Bills",2018
"14","['Derek Anderson']","Out: Concussion","week_12","Buffalo Bills",2018
"15","['Derek Anderson']","Out: Concussion","week_13","Buffalo Bills",2018
"16","['Derek Anderson']","Out: Concussion","week_14","Buffalo Bills",2018
"17","['Ryan Lewis']","Out: Concussion","week_15","Buffalo Bills",2018
"18","['Ryan Lewis']","Out: Concussion","week_16","Buffalo Bills",2018
"19","['Ryan Lewis']","Questionable: Concussion","week_17","Buffalo Bills",2018
"20","['Josh Martin']","Out: Concussion","week_1","New York Jets",2018
"21","['Josh Martin']","Out: Concussion","week_2","New York Jets",2018
"22","['Josh Martin']","Out: Concussion","week_3","New York Jets",2018
"23","['Neal Sterling']","Out: Concussion","week_3","New York Jets",2018
"24","['Neal Sterling']","Out: Concussion","week_4","New York Jets",2018
"25","['Josh Martin']","Injured Reserve: Concussion","week_5","New York Jets",2018
"26","['Neal Sterling']","Out: Concussion","week_5","New York Jets",2018
"27","['Josh Martin']","Injured Reserve: Concussion","week_6","New York Jets",2018
"28","['Buster Skrine']","Out: Concussion","week_6","New York Jets",2018
"29","['Josh Martin']","Injured Reserve: Concussion","week_7","New York Jets",2018
"30","['Buster Skrine']","Out: Concussion","week_7","New York Jets",2018
"31","['Josh Martin']","Injured Reserve: Concussion","week_8","New York Jets",2018
"32","['Josh Martin']","Injured Reserve: Concussion","week_9","New York Jets",2018
"33","['Neal Sterling']","Injured Reserve: Concussion","week_9","New York Jets",2018
